"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
"38","amatsuda","4","2","66","6","all-fixed.csv","0"
NA,"Arsen7","1","1","0","2","all-fixed.csv","0"
NA,"arunagw","1","1","0","2","all-fixed.csv","0"
NA,"bogdan","8","4","228","12","all-fixed.csv","0"
NA,"bradediger","1","1","0","2","all-fixed.csv","0"
NA,"butcher","4","1","24","5","all-fixed.csv","0"
NA,"carlosantoniodasilva","1","2","0","3","all-fixed.csv","0"
NA,"dasch","2","4","100","6","all-fixed.csv","0"
NA,"dmathieu","6","4","173","10","all-fixed.csv","0"
NA,"fxn","0","2","0","2","all-fixed.csv","0"
NA,"guilleiguaran","9","16","235.666666666667","25","all-fixed.csv","0"
NA,"idoru","0","1","0","1","all-fixed.csv","0"
NA,"isaacsanders","7","8","237.333333333333","15","all-fixed.csv","0"
NA,"jasonnoble","0","1","0","1","all-fixed.csv","0"
NA,"jeremy","1","1","0","2","all-fixed.csv","0"
NA,"jonleighton","3","2","4","5","all-fixed.csv","0"
NA,"josevalim","5","12","312.333333333333","17","all-fixed.csv","0"
NA,"josh","1","0","0","1","all-fixed.csv","0"
NA,"lautis","1","1","0","2","all-fixed.csv","0"
NA,"marcofognog","0","1","0","1","all-fixed.csv","0"
NA,"paneq","5","2","108","7","all-fixed.csv","0"
NA,"pivotal-casebook","6","0","0","6","all-fixed.csv","0"
NA,"pixeltrix","2","4","70","6","all-fixed.csv","0"
NA,"rafaelfranca","0","3","0","3","all-fixed.csv","0"
NA,"ragaskar","1","1","0","2","all-fixed.csv","0"
NA,"route","0","1","0","1","all-fixed.csv","0"
NA,"rsim","0","3","0","3","all-fixed.csv","0"
NA,"rupurt","0","1","0","1","all-fixed.csv","0"
NA,"siong1987","2","2","0","4","all-fixed.csv","0"
NA,"spastorino","6","5","2.18181818181818","11","all-fixed.csv","0"
NA,"steveklabnik","2","4","0","6","all-fixed.csv","0"
NA,"tekwiz","1","1","7.66666666666667","2","all-fixed.csv","0"
NA,"tenderlove","14","3","176.484848484849","17","all-fixed.csv","0"
NA,"thedarkone","1","1","0","2","all-fixed.csv","0"
NA,"thinkerbot","3","1","22.6666666666667","4","all-fixed.csv","0"
NA,"toddboom","0","1","0","1","all-fixed.csv","0"
NA,"vijaydev","2","3","120.666666666667","5","all-fixed.csv","0"
NA,"wycats","1","0","0","1","all-fixed.csv","0"
"77","aaronchi","3","1","18.5","4","all-fixed.csv","1"
NA,"abachman","0","1","0","1","all-fixed.csv","1"
NA,"adrpac","0","1","0","1","all-fixed.csv","1"
NA,"artemave","13","1","351","14","all-fixed.csv","1"
NA,"arunagw","3","6","114.561879297173","9","all-fixed.csv","1"
NA,"betelgeuse","2","1","38","3","all-fixed.csv","1"
NA,"brendon","0","2","0","2","all-fixed.csv","1"
NA,"brianmario","0","1","0","1","all-fixed.csv","1"
NA,"btelles","0","1","0","1","all-fixed.csv","1"
NA,"carlosantoniodasilva","3","3","96.8083028083028","6","all-fixed.csv","1"
NA,"cgriego","7","3","204.546031746032","10","all-fixed.csv","1"
NA,"chriseppstein","0","1","0","1","all-fixed.csv","1"
NA,"christianblais","4","0","0","4","all-fixed.csv","1"
NA,"ChristianPeters","0","1","0","1","all-fixed.csv","1"
NA,"derekprior","7","6","216.418547740287","13","all-fixed.csv","1"
NA,"dhh","4","5","0","9","all-fixed.csv","1"
NA,"dmathieu","24","21","749.548263755084","45","all-fixed.csv","1"
NA,"elomarns","0","1","0","1","all-fixed.csv","1"
NA,"et","0","1","0","1","all-fixed.csv","1"
NA,"frodsan","0","2","0","2","all-fixed.csv","1"
NA,"fxn","4","3","3.96571938203874","7","all-fixed.csv","1"
NA,"grosser","0","1","0","1","all-fixed.csv","1"
NA,"guilleiguaran","52","41","1064.17990673609","93","all-fixed.csv","1"
NA,"hzeus","0","1","0","1","all-fixed.csv","1"
NA,"isaacsanders","1","1","0","2","all-fixed.csv","1"
NA,"ivanvanderbyl","1","1","0","2","all-fixed.csv","1"
NA,"jeremyevans","0","2","0","2","all-fixed.csv","1"
NA,"jeremyf","0","1","0","1","all-fixed.csv","1"
NA,"joeljunstrom","1","2","0","3","all-fixed.csv","1"
NA,"jonleighton","16","14","803.196135181206","30","all-fixed.csv","1"
NA,"josevalim","14","23","358.956474508786","37","all-fixed.csv","1"
