"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
"38","amatsuda","4","2","142","6","comments-fixed.csv","0"
NA,"Arsen7","1","1","0","2","comments-fixed.csv","0"
NA,"arunagw","1","1","0","2","comments-fixed.csv","0"
NA,"bogdan","7","4","239","11","comments-fixed.csv","0"
NA,"bradediger","1","1","0","2","comments-fixed.csv","0"
NA,"butcher","4","1","24","5","comments-fixed.csv","0"
NA,"carlosantoniodasilva","1","2","0","3","comments-fixed.csv","0"
NA,"dasch","1","1","100","2","comments-fixed.csv","0"
NA,"dmathieu","4","3","173","7","comments-fixed.csv","0"
NA,"fxn","0","2","0","2","comments-fixed.csv","0"
NA,"guilleiguaran","7","16","309.666666666667","23","comments-fixed.csv","0"
NA,"idoru","0","1","0","1","comments-fixed.csv","0"
NA,"isaacsanders","7","8","237.333333333333","15","comments-fixed.csv","0"
NA,"jasonnoble","0","1","0","1","comments-fixed.csv","0"
NA,"jeremy","1","1","0","2","comments-fixed.csv","0"
NA,"jonleighton","3","2","4","5","comments-fixed.csv","0"
NA,"josevalim","5","12","323.333333333333","17","comments-fixed.csv","0"
NA,"josh","1","0","0","1","comments-fixed.csv","0"
NA,"lautis","1","1","0","2","comments-fixed.csv","0"
NA,"marcofognog","0","1","0","1","comments-fixed.csv","0"
NA,"paneq","5","2","108","7","comments-fixed.csv","0"
NA,"pivotal-casebook","6","0","0","6","comments-fixed.csv","0"
NA,"pixeltrix","2","4","70","6","comments-fixed.csv","0"
NA,"rafaelfranca","0","3","0","3","comments-fixed.csv","0"
NA,"ragaskar","1","1","0","2","comments-fixed.csv","0"
NA,"route","0","1","0","1","comments-fixed.csv","0"
NA,"rsim","0","3","0","3","comments-fixed.csv","0"
NA,"rupurt","0","1","0","1","comments-fixed.csv","0"
NA,"siong1987","2","2","0","4","comments-fixed.csv","0"
NA,"spastorino","6","5","1.63636363636364","11","comments-fixed.csv","0"
NA,"steveklabnik","2","4","0","6","comments-fixed.csv","0"
NA,"tekwiz","1","1","7.66666666666667","2","comments-fixed.csv","0"
NA,"tenderlove","14","3","258.030303030303","17","comments-fixed.csv","0"
NA,"thedarkone","1","1","0","2","comments-fixed.csv","0"
NA,"thinkerbot","3","1","22.6666666666667","4","comments-fixed.csv","0"
NA,"toddboom","0","1","0","1","comments-fixed.csv","0"
NA,"vijaydev","2","1","196.666666666667","3","comments-fixed.csv","0"
NA,"wycats","1","0","0","1","comments-fixed.csv","0"
"77","aaronchi","3","1","18.5","4","comments-fixed.csv","1"
NA,"abachman","0","1","0","1","comments-fixed.csv","1"
NA,"adrpac","0","1","0","1","comments-fixed.csv","1"
NA,"artemave","13","1","351","14","comments-fixed.csv","1"
NA,"arunagw","3","6","283.490326556627","9","comments-fixed.csv","1"
NA,"betelgeuse","2","1","38","3","comments-fixed.csv","1"
NA,"brendon","0","2","0","2","comments-fixed.csv","1"
NA,"brianmario","0","1","0","1","comments-fixed.csv","1"
NA,"btelles","0","1","0","1","comments-fixed.csv","1"
NA,"carlosantoniodasilva","3","2","117.432750799051","5","comments-fixed.csv","1"
NA,"cgriego","7","3","275.019696969697","10","comments-fixed.csv","1"
NA,"chriseppstein","0","1","0","1","comments-fixed.csv","1"
NA,"christianblais","4","0","0","4","comments-fixed.csv","1"
NA,"ChristianPeters","0","1","0","1","comments-fixed.csv","1"
NA,"derekprior","4","4","115.452447768748","8","comments-fixed.csv","1"
NA,"dhh","3","0","0","3","comments-fixed.csv","1"
NA,"dmathieu","11","8","600.122023045817","19","comments-fixed.csv","1"
NA,"elomarns","0","1","0","1","comments-fixed.csv","1"
NA,"et","0","1","0","1","comments-fixed.csv","1"
NA,"frodsan","0","2","0","2","comments-fixed.csv","1"
NA,"fxn","4","3","5.18069036226931","7","comments-fixed.csv","1"
NA,"grosser","0","1","0","1","comments-fixed.csv","1"
NA,"guilleiguaran","33","32","898.962969689992","65","comments-fixed.csv","1"
NA,"hzeus","0","1","0","1","comments-fixed.csv","1"
NA,"isaacsanders","1","1","0","2","comments-fixed.csv","1"
NA,"ivanvanderbyl","1","1","0","2","comments-fixed.csv","1"
NA,"jeremyevans","0","2","0","2","comments-fixed.csv","1"
NA,"jeremyf","0","1","0","1","comments-fixed.csv","1"
NA,"joeljunstrom","1","2","0","3","comments-fixed.csv","1"
NA,"jonleighton","9","7","1130.43638604214","16","comments-fixed.csv","1"
NA,"josevalim","10","19","651.169323816482","29","comments-fixed.csv","1"
NA,"josh","7","8","30.5369068919804","15","comments-fixed.csv","1"
NA,"jsanders","1","1","0","2","comments-fixed.csv","1"
NA,"kirel","0","1","0","1","comments-fixed.csv","1"
NA,"kirs","2","2","18.5","4","comments-fixed.csv","1"
NA,"KlausTrainer","1","1","0","2","comments-fixed.csv","1"
NA,"kule","0","1","0","1","comments-fixed.csv","1"
NA,"markembling","2","3","0","5","comments-fixed.csv","1"
NA,"mbravorus","0","1","0","1","comments-fixed.csv","1"
NA,"mirceapricop","0","1","0","1","comments-fixed.csv","1"
NA,"moiristo","0","1","0","1","comments-fixed.csv","1"
NA,"mtoledo","1","0","0","1","comments-fixed.csv","1"
NA,"nateware","0","1","0","1","comments-fixed.csv","1"
NA,"nbarthelemy","1","2","0","3","comments-fixed.csv","1"
NA,"NiFi","0","1","0","1","comments-fixed.csv","1"
NA,"Ninju","1","1","0","2","comments-fixed.csv","1"
NA,"NZKoz","2","0","0","2","comments-fixed.csv","1"
NA,"ohwillie","0","1","0","1","comments-fixed.csv","1"
NA,"oscardelben","0","1","0","1","comments-fixed.csv","1"
NA,"osegrums","0","1","0","1","comments-fixed.csv","1"
NA,"parndt","7","8","291.927544351074","15","comments-fixed.csv","1"
NA,"pcg79","0","1","0","1","comments-fixed.csv","1"
NA,"pdelanauze","0","1","0","1","comments-fixed.csv","1"
NA,"pixeltrix","3","2","167","5","comments-fixed.csv","1"
NA,"pwim","0","1","0","1","comments-fixed.csv","1"
NA,"radar","1","1","0","2","comments-fixed.csv","1"
NA,"rafaelfranca","4","11","603.224747474748","15","comments-fixed.csv","1"
NA,"raggi","0","1","0","1","comments-fixed.csv","1"
NA,"reqorder","0","1","0","1","comments-fixed.csv","1"
NA,"rhulse","2","4","8.09974937343358","6","comments-fixed.csv","1"
NA,"seanabrahams","0","1","0","1","comments-fixed.csv","1"
NA,"shwoodard","7","1","308","8","comments-fixed.csv","1"
NA,"sikachu","1","1","0","2","comments-fixed.csv","1"
NA,"spagalioco","2","5","0","7","comments-fixed.csv","1"
NA,"spastorino","14","8","388.76512079443","22","comments-fixed.csv","1"
NA,"spohlenz","5","11","135.151649090157","16","comments-fixed.csv","1"
NA,"sr3d","0","1","0","1","comments-fixed.csv","1"
NA,"tarikjn","1","1","0","2","comments-fixed.csv","1"
NA,"tenderlove","8","2","149.037862786765","10","comments-fixed.csv","1"
NA,"Tho85","16","4","534.781890331891","20","comments-fixed.csv","1"
NA,"tiegz","0","3","0","3","comments-fixed.csv","1"
NA,"TildeWill","1","0","0","1","comments-fixed.csv","1"
NA,"travisp","0","1","0","1","comments-fixed.csv","1"
NA,"unimatrixZxero","0","1","0","1","comments-fixed.csv","1"
NA,"vijaydev","3","5","42.8253104053794","8","comments-fixed.csv","1"
NA,"yaroslav","0","1","0","1","comments-fixed.csv","1"
NA,"zenprogrammer","19","11","747.38260344932","30","comments-fixed.csv","1"
"35","bestie","3","3","0","6","comments-fixed.csv","2"
NA,"bobbytables","2","0","0","2","comments-fixed.csv","2"
NA,"bogdan","9","0","0","9","comments-fixed.csv","2"
NA,"dasch","1","6","12","7","comments-fixed.csv","2"
NA,"davidknezic","0","1","0","1","comments-fixed.csv","2"
NA,"dbenhur","1","1","0","2","comments-fixed.csv","2"
NA,"dmitriy-kiriyenko","1","3","0","4","comments-fixed.csv","2"
NA,"dmitry","0","1","0","1","comments-fixed.csv","2"
NA,"eparreno","1","0","0","1","comments-fixed.csv","2"
NA,"fxn","2","2","23.6666666666667","4","comments-fixed.csv","2"
NA,"gmcnaughton","0","1","0","1","comments-fixed.csv","2"
NA,"guilleiguaran","8","5","75","13","comments-fixed.csv","2"
