source,target
steveklabnik ,parndt
spastorino ,parndt
rafaelfranca,parndt
mpapis,parndt
drogus,parndt
mpapis,drogus
rafaelfranca,mpapis
parndt,rafaelfranca
rafaelfranca,parndt
parndt,rafaelfranca
paneq,parndt
drogus,paneq
drogus,parndt
steveklabnik,drogus
steveklabnik,paneq
steveklabnik,parndt
mpapis,parndt
rafaelfranca,
LTe,rafaelfranca
drogus,mpapis
steveklabnik ,
paneq,
paneq,drogus
wycats,
paneq,wycats
wycats,paneq
paneq,
rafaelfranca,paneq
databyte,rafaelfranca
steveklabnik ,databyte
sobrinho,parndt
drogus,sobrinho
kennyj,parndt
josevalim,parndt
parndt,josevalim
josevalim,parndt
josevalim,parndt
josevalim,chriseppstein
josevalim,fxn
josevalim,jeremy
carlosantoniodasilva ,parndt
fxn,parndt
chriseppstein,parndt
josevalim,parndt
parndt,josevalim
dvyjones,alexeymuranov
alexeymuranov,dvyjones
dvyjones,alexeymuranov
alexeymuranov,dvyjones
pdjota,alexeymuranov
alexeymuranov,pdjota
alexeymuranov,pdjota
tenderlove,alexeymuranov
alexeymuranov,tenderlove
josevalim,alexeymuranov
alexeymuranov,
alexeymuranov,
alexeymuranov,
josevalim,alexeymuranov
rafaelfranca,kennyj
josevalim,
fxn,
josevalim,kennyj
kennyj,rafaelfranca 
kennyj,josevalim
kennyj,fxn
josevalim,kennyj
fxn,kennyj
pivotal-ghostchips,
steveklabnik ,pivotal-ghostchips
sferik,pivotal-ghostchips
sferik,steveklabnik 
rafaelfranca ,sferik
rafaelfranca ,kennyj
sferik,rafaelfranca 
rafaelfranca ,sferik
kennyj,sferik
kennyj,rafaelfranca 
rafaelfranca ,kennyj
jtarchie,
rafaelfranca ,jtarchie
kennyj,sferik
kennyj,
rafaelfranca ,kennyj
steveklabnik ,
kennyj,steveklabnik 
drogus,kennyj
kennyj,drogus
kennyj,drogus
kuraga,kennyj
kennyj,
kuraga,kennyj
kennyj,drogus
kennyj,kuraga
carlosantoniodasilva ,
kuraga,kennyj
drogus,kennyj
drogus,kennyj
kennyj,drogus
kennyj,kuraga
carlosantoniodasilva ,kennyj
kuraga,carlosantoniodasilva 
kennyj,josevalim
drogus,kennyj
drogus,jonleighton
drogus,tenderlove
rafaelfranca,drogus
rafaelfranca,kennyj
kennyj,rafaelfranca
kennyj,drogus
kennyj,
carlosantoniodasilva ,kennyj
kennyj,
kennyj,jonleighton
gmcnaughton,
tenderlove,gmcnaughton
kennyj,guilleiguaran
guilleiguaran,kennyj
