source,target
ForcedTweeter,#london2012
DaisyZa4,",<-"
cautionstop,????
elianearruda,@
zheshkaa,@@@@@@@@@@@@@@@@@@@@@
wanchan1209,\samsungmobile:
________Ty,________ty
pandydavey,__michaelpowell
Alasdairontwit,__moore__
JESSMCBEATH,__msblackkk
thatmanatee,__themrs
JackieMoshtaghi,__zeevii
AlinaEacott,_adamtodd
Aussies2012,_alanaboyd
johngarner10,_alanaboyd
NSWathletics,_alanaboyd
JohanaMolinaC,_alexandramc
kidtj316,_ambitious_jay
dinanodamano,_ambitious_jay
KeithDanso,_ambitious_jay
Thai_is_heer,_ambitious_jay
SuB_la,_ambitious_jay
JLotZ_7,_ambitious_jay
gerriecoe,_ambitious_jay
MmoMatlho,_ambitious_jay
48hrsincapetown,_ambitious_jay
Bantam777,_ambitious_jay
TheJAdams,_ambitious_jay
stefenmarsh,_amylouiselewis
Parag_2,_anand__
satan_D,_any3_
_JuAll,_apolline
Jaansenn,_be_myself
_brenyaMCMXCV,_brenyamcmxcv:
MegBetts,_bumble
brunohanna,_carolveronese
txtrey,_caseyreyna93
KinesioHK,_cathaley
SuptBracher,_chloebarker
alliemcmillan77,_christinaadams
Melisballin22,_colinbrown
DJDavieB,_craigo
robertnshine,_daftaccent45
Lozxkx,_danewing
Android_OmNom,_dangdangdang
JoanneBowles1,_edjohnson
thewerm11,_el_bee
MJHawesy,_eleanork
mossalan1,_emilylisa
cainvommars,_eventifier_
wwos9,_gabriellesmall
umbertob8,_gl0ri4_
CaraWilliamsL,_hannah_walsh
twisted_flax,_hayld0
lessaunders11,_hmj_
laurayoung26,_hollyyoung
actualites_,_inconnu
actualites_,_inconnu
actualites_,_inconnu
actualites_,_inconnu
LSulima,_irinab
rosalindmarion,_jack_hill_
_Jenniex,_jenniex:
bittle_,_jeuxolympiques
kellenbrent,_jonahale
tr_howard,_kasias
DanPurvis,_kimrandall
joeeram,_kwandary
tinhasantiago,_lalalah
kellykbow,_laurennickel
MexicoTodayFR,_lauritasanchez
JordJones1992,_lewjones
Redvark,_lisacherry
Claudiophillips,_m0nicacook
pbower10,_michellewatt
_mohitpanwar,_mohitpanwar
BryanMudryk,_neelaak
simonjdeakin,_neptune_
LIbz68,_nyki
Tamara_Palomo,_pau9_
ToniSolGrfol,_pepe3
raydawg13,_pinklove_
akshaymufc,_por33_
inlovesicha,_rummie
2012inspire,_samanthamurray
_emilycardwell,_serenakang
Ammunition4God,_shojiv_
GPlucknett97,_stephy23
Y2DayKID,_stubbs_
CameronG92,_thephil
BrokVoi,_trefo
bowenma3,_usainbolt1
mimiwhite41,_usainbolt1
beckstead51,_usainbolt1
kayinpauls,_usainbolt1
MarkYou73192289,_usainbolt1
Tony_H58,_usainbolt1
j_swindells,_usainbolt1
cadegleekel,_usainbolt1
BriTardski,_usainbolt1
LoGoeOnYoHoDoe,_usainbolt1
Baz40nil,_usainbolt1
saint1d,_usainbolt1
gangasagar_p,_v1vek
iliya_cirjak,_xgeorgie
fowora,_yemia
Berkybear,001_ascot
KellyTeramoto,02vicpiper
rachel_kowalski,0okarineo0
ryanrowat,100_prcntcotten
Atkins1Alison,100mcoach
MaTze49899808,1026runner
PaulJobber,102megan
anantkgoyal,10mayvora
ad_brooks,10pmw
JBSewell,11fenn
manumolino,11manuferrer
ValentinaRios,11rcl
CookingMamaAUS,120dollarsfood
allysonna12,12cmetcalf
BIGnosestu,12kbfc
kan_taroh,13_hiroshi
woodchuckcanuck,1310markday
1310Alexblack,1310news
Berlusconi84,1397meriam
Berlusconi84,1397meriam
knightstarr94,13aangan93
JessLitwin,15thcgossipgirl
Budonkers,16darcytucker
2012inspire,1980ijneb
davecarolan,1980shellsbells
StephKall,1988montague
kellenbrent,1chicklette
FabienDouillard,1darrentulett
Benjanyong,1darrentulett
portdouglas,1der1
SergeantObvious,1dxh
juelzmyers8,1jamielawrence7
PortiaFavro,1leclair
Tarakin,1matthopkins
lucyodger,1sophiereynolds
only_for_mdl,1usernametaken
millerja9,2_chrisswann_6
camilitovargas,2010misterchip
LEOGARAYR,2010misterchip
josangelrondon,2010misterchip
NixonChucky7,2010misterchip
jompinto,2010misterchip
rfelix30,2010misterchip
ZezeSarto,2010misterchip
fmartinnl,2010misterchip
TaponSandoval,2010misterchip
davl0p,2010misterchip
fmartinnl,2010misterchip
jaenneo,2010misterchip
Jorge_Palacioss,2010misterchip
luisurbaRD,2010misterchip
abelsansan,2010misterchip
CarMoreno_10,2010misterchip
Jesuscaltol7,2010misterchip
NixonChucky7,2010misterchip
VirorrDiaz,2010misterchip
mimexkopaneko,2010misterchip
golondru,2010misterchip
alfcorlet,2010misterchip
franklincarpio,2010misterchip
rey__1962,2010misterchip
zhenis,2010misterchip:
pirilampo_809,2010misterchip:
2012_Londres,2012_londres
Luke_McGovern,2012amy
MelindaGoforth,2012govuk
joetayla,2012intern
Katiebootuk,2012paraalert
MARYG_MU,2012ticketaler2
AmarPankhania,2012ticketalert
MaharajV,2012ticketalert
cerijanespiller,2012ticketalert
adammgreen_,2012ticketalert
_MattBrown,2012ticketalert
zachtpepper,2012ticketalert
Brightstar24,2012ticketalert
DrewReed,2012ticketalert
nikeshdoshi,2012ticketalert
AngadJairath,2012ticketalert
sanjay_81,2012ticketalert
ciaramconway,2012ticketalert
Ceedat,2012ticketalert
Alheri,2012ticketalert
ClareToms,2012ticketalert
peskygowilla,2012ticketalert
kvikdev,2012ticketalert
La_Sushi,2012ticketalert
alexramshaw88,2012ticketalert
kingkramer,2012ticketalert
daAkt,2012ticketalert
PaulCHarrison,2012ticketalert
ninjafinger80,2012ticketalert
davesideshow,2012ticketalert
annaonthemoon,2012ticketalert
KrishanthiSarah,2012ticketalert
gem_craig,2012ticketalert
ApostlesPoem,2012ticketalert
sam_jane123,2012ticketalert
Starleyyy,2012ticketalert
MaxiMasters,2012ticketalert
JHG1973,2012ticketalert
bruceives,2012ticketalert
Griffeye,2012ticketalert
MARYG_MU,2012ticketalert
RuaidhriOB,2012ticketalert
ninjafinger80,2012ticketalert
richie9648,2012ticketalert
vincentmaynard,2012ticketalert
sophd39,2012ticketalert
kvikdev,2012ticketalert
Mr_TomSawyer,2012ticketalert
missmanchand,2012ticketalert
GeddesChris,2012weymouth
pirata_rosa,2012weymouth
toniberini,20m
RB_Phan,221bsam
killianbyrne,22dropout
danthewatts,22hux
EileenOnya,24hoursvan
Carebags,24hoursvan
80sRockerChick,24hoursvan
ecostrophe,25_primrose
Clay_57,280proof
MsMel13,2dayfmsydney
Tall_Animals,2jbasketball
IAmShahJahan,2kidsandme
GabrielleNYC,2morrowknight
cavallerstJordi,324cat
KeiterFeliz,360fmradio
Karen_2737,3aw693
gatty72,3aw693
k_ali_richards,3gerardpique
gugon9,3gerardpique
Si4Blaugrana,3gerardpique
timmy_vt31,3jpearson
JustBeer_NoBull,3leahhutchie12
JaroG4,3mausimhaus
SimOdedra,4chords
TheGamesWalk,4motiondance
SonjaMyers34,4southsudan
an93drew,50_mylesperhour
Wanie5Dean,501awani
HEAT305,509triathlete
TravelButlers,50treasures
saadaljassem,52degreeskw
JHavRAF,58mum
JarrydScholtz,5fm
MarkRoyalLePage,604homesguy
BenchmarkFour,612brisbane
lachie87,6dance
nealcol,702david
OinkSouthAfrica,702johnrobbie
richr69,73ling
lsmitchell,774melbourne
lsmitchell,774melbourne
lsmitchell,774melbourne
78sharp,78sharp:
quinfernandezz,"7vueltas,"
quinfernandezz,"7vueltas,"
quinfernandezz,"7vueltas,"
quinfernandezz,"7vueltas,"
Foreman_1983,889brilafm
KeaneJohn69,8inch8
gordotweets1,8kimsmith
HannoMottola,8kimsmith
Dan_Lonslow,8mrgoff
roysundborg,9421matt
AliMenga,9inewpp
creme32,9jajokes
caitemurph,9news
redgumcom,9newsmelb
OlympicBuzz1,9thseat
mmunozza,9victormontoya9
kristin_wiss,a__manders
RHk_v8,a_6smith
MAVO34,a_a_kuzmin
danamo,a_beezle
Frank_Hosmar,a_cornelissen
donnyc31,a_crack
donnyc31,a_crack
goguiii,a_cristy
dougdela,a_picazo
snipit,a_picazo
rockstarross,a_satur
A_Vicenzot,a_vicenzot
AspireSportsUK,aa_richards
fritske78,aad300
OlympicBuzz1,aainsworthnbc
AnubisFanBEL,aainsworthnbc
imkatethegreat,aainsworthnbc
beatmaster10,aaliyaah_13
2012inspire,aaroncooktkd
AgadaSpeed,aaronctomlin
carmondos,aaronjuliuskim
alex__millar,aaronmillar95
erincelello,aaronolver
PauloSibaja,aaronrs1
JennaL15,aarp
SqadTicketWatch,aaw15
garylad54,abaguley
garylad54,abaguley
MattSavage7,abaguley
KasheyyN,abbiebolitho
janeymoores,abbiegreg13
lsmitchell,abby_knight10
Arleen5098,abbywambach
SidelineForums,abbywambach
vannaman15,abbywambach
buriedcarrots,abbywambach
mcafee_adam,abbywambach
Yve415,abbywambach
deligirl83,abbywambach
ecorbitt2121,abbywambach
LizCollinsNY,abbywambach
e_mccurdy,abbywambach
Kris10ator,abbywambach
CodyDirks,abbywambach
leu2413,abbywambach
brittlovesmusic,abbywambach
mariaaa_carmen,abbywambach
TrevMusicXpert,abbywambach
ComradeCrank,abbywambach
wLinds,abbywambach
ComradeCrank,abbywambach
Stephnwi10,abbywambach
Iznash,abbywambach
kate_bove,abbywambach
ChrisGoyzueta,abbywambach
alesszuniga,abbywambach
deskman608,abbywambach
cfalcipi,abbywambach
_Gabsta,abbywambach
QCCovington,abbywambach
deskman608,abbywambach
AnitaMarks,abbywambach
RedStarPool,abbywambach
KimberSmith20,abbywambach
MsIngaSpoke,abbywambach
nebbil,abbywambach
BBbrodyBB,abbywambach
CindyLauEvans,abbywambach
TheOtherLori,abbywambach
Colin_MP,abbywambach
redha1233,abbywambach
Megaroo_D,abbywambach
BCabeldu,abbywambach
SirensEye,abbywambach
terrikeith,abbywambach
linabbell,abbywambach
teachittomay,abbywambach
kt7584,abbywambach
seanpalmer,"abbywambach,"
taelovessoccer,"abbywambach,"
KristiaAnderson,abbywambach:
GailNolin,abbywambach:
joeskrilla,abbywambach:#classless
eleanorodonell,abc_xo
MediaServicesTV,abc730
Harry_Flowers,abcgrandstand
BashedByDrunks,abcnews
Pinhead_01,abcnews
lsmitchell,abcnews
toneboss,abcnews24
DenisDaily,abcnews24
giddeygirl,abcnewsintern
toddt85,abcolympics
spacko453,abcolympics
fitant,abcolympics
SouBundanga,abcolympics
jlg24601,abcolympics
Abdelkhallek,abdelkhallek:
emoto,abdi_runs
hamaddinio,abdicesc
simba31,abductin_aliens
AbisinanTweets,abdusays
benedictbrogan,abelardinelli
gfmeras,abelgama77
AidanOCardiff,aberdarevaac
Lindsa183,abicornish
classicalsmoke,abigailh
hanabartlex,abimoffat8x
Ichi_Bear,abioyepitan
obi_brian,abitgone
mcmillan_cm,abmcmillionaire
badtzeri,abnesa
badtzeri,abnesa
CMansencal,abonnamy
aboutdan,aboutdan
steelydan31,abrahamgillis
juanmamor,abrelatas
ILoveKleng,abscbnnews:
charlesross26,absolute_fitnes
KarenHaller,absolutealicia
50ftwoman,absoluteradio
elicab,absoluteradio
V_Lihoj,abunin
bihar2bombay,abyudhreddy
juantdiaz,acarohj
acabgd,acastop
Gserres,accambrayw
boulvaye80,accambrayw
MarvinMompoint,accambrayw
EQuintinS24,accambrayw
nHUBi1,accambrayw
sadlertj,accesshollywood
FollowEncore,ace_uk
NickyB030,aceadegoke
Igby_tweets,acertainlevin
apriltapps,acf_uk
TommyMoseley,achrisevans
LuckyMoore4,achrisevans
ryneebob,achrisevans
mikefez8,achrisevans
cheryl_peril,achrisevans
TwitchyBill1994,achrisevans
johnmitchell244,achristensen_28
Tas_Vinicius,acjunior86
fowlski,ackfordatkinson
TheAshLo,acmawards
PanameniamC3,acmilan
JMBNutrition,acruch96
sineadmacbride,action81
clickeric,activenick
o0shakira0o,actuallynph
Margie_Liv,actuallynph
footballnuggets,actuallynph
ihodson19,actuallynph
BryanGarlitz,actualyoungdia
chrisdbarry,acursoryglance
truemaks,adagamov
RobLoasby,adage
marcoscampeon,adaimiel
rach72usa,adam_cf
2012inspire,adam_gemili
artistress,adam_hubb
SuperJazzGirl,adam_ps
graz1980,adam_stubbs7
graz1980,adam_stubbs7
graz1980,adam_stubbs7
graz1980,adam_stubbs7
graz1980,adam_stubbs7
graz1980,adam_stubbs7
Chelsea_JL1,adam2rs
Chelsea_JL1,adam2rs
Cu_s,adambracey1
2012inspire,adambrownswim
Hockeyroos,adamcgilchrist
RealMikeMiller,adamchulme
SamPotts_,adamconroy7592
miconm,adamcreen
MartinJarvis87,adamfrancis86
michaelmanni,adamgibson_1
michaelmanni,adamgibson_1
cifo1,adamgibson_1:
DougalLongfoot,adamhillscomedy
clarke_liam,adamhoyes
tessa0602,adamjolly11
alexbirtles,adamkinsley
obismonkey,adamlevine
JesseProch,adamlevine
creammm72,adamlevine
morgstrauty,adamliaw
JustinTruong,adamliaw
JustinTruong,adamliaw
Oh_Glorious_One,adamliaw
vincentohora,adammcc11
anj_jas07,adammickiewicz8
afleets,adammillsuk
joesm1th,adammoore_5
Hokuao47,adammshankman
ColonelJohn,adamnaisbitt:
Forbesy1984,adamolrog
designbyfriends,adampryor85
roshea7,adamvillella
wendellwagner,adamwagner
EmilyMorrison9,adamyoung111
emoto,adeadepitan
LizAnne_x,adecr
MandyPetry19,adelaide_fc
andrewdunning,adeleyoung
miguelsrico,ademarleon:enhorabuena
odie910,adenharvey
JPicotte,adespatie
canada_olympics,adespatie
trishsnoop,adespatie
mwapple,adespatie
lsabourinz,adespatie
kwestwynd,adespatie
briesadler,adespatie
Jessiecpa,adespatie
CaitySchagen4,adespatie
