Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
1,,,2006,Sports,Nintendo,40.5,28.42,3.77,8.55,81.24
2,Wii Sports,Wii,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Super Mario Bros.,NES,2008,Racing,Nintendo,14.59,12.24,3.64,3.23,33.69
4,Mario Kart Wii,Wii,2009,Sports,Nintendo,14.89,10.52,3.19,3.02,31.62
5,Wii Sports Resort,Wii,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
6,Pokémon Red / Green / Blue Version,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,Tetris,GB,2006,Platform,Nintendo,10.89,8.9,6.48,2.89,29.16
8,New Super Mario Bros.,DS,2006,Misc,Nintendo,13.84,9.12,2.93,2.84,28.73
9,Wii Play,Wii,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
10,Duck Hunt,NES,2009,Platform,Nintendo,13.43,6.51,4.67,2.27,26.88
11,New Super Mario Bros. Wii,Wii,2005,Simulation,Nintendo,9.03,10.82,1.93,2.73,24.51
12,Nintendogs,DS,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
13,Pokémon Gold / Silver Version,GB,2007,Sports,Nintendo,8.91,8.16,3.6,2.08,22.74
14,Wii Fit,Wii,2005,Racing,Nintendo,9.36,7.14,4.11,1.9,22.52
15,Mario Kart DS,DS,2009,Sports,Nintendo,8.84,7.96,2.53,1.86,21.18
16,Wii Fit Plus,Wii,2004,Action,Take-Two Interactive,9.43,8.48,0.41,2.49,20.81
17,Grand Theft Auto: San Andreas,PS2,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
18,Super Mario World,SNES,2005,Misc,Nintendo,4.72,9.1,4.16,2.04,20.02
19,Brain Age: Train Your Brain in Minutes a Day,DS,2010,Misc,Microsoft Game Studios,13.57,4.38,0.24,1.83,20.02
20,Kinect Adventures!,X360,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
21,Super Mario Land,GB,2006,Role-Playing,Nintendo,6.33,4.34,6.04,1.35,18.06
22,Pokémon Diamond / Pearl Version,DS,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
23,Super Mario Bros. 3,NES,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
24,Grand Theft Auto: Vice City,PS2,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
25,Pokémon Ruby / Sapphire Version,GBA,2005,Misc,Nintendo,3.41,5.33,5.32,1.18,15.24
26,Brain Age 2: More Training in Minutes a Day,DS,2011,Shooter,Activision,9.25,4.11,0.12,1.43,14.92
27,Call of Duty: Modern Warfare 3,X360,2001,Racing,Sony Computer Entertainment,6.85,4.99,1.87,1.16,14.88
28,Gran Turismo 3: A-Spec,PS2,2010,Role-Playing,Nintendo,5.33,2.82,5.64,0.9,14.69
29,Pokémon Black / White Version,DS,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
30,Pokémon Yellow: Special Pikachu Edition,GB,2010,Shooter,Activision,9.1,3.43,0.1,1.31,13.94
31,Call of Duty: Black Ops,X360,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
32,Grand Theft Auto III,PS2,2009,Shooter,Activision,8.28,3.4,0.08,1.26,13.02
33,Call of Duty: Modern Warfare 2,X360,2011,Shooter,Activision,5.48,4.72,0.48,2.03,12.71
34,Call of Duty: Modern Warfare 3,PS3,2012,Shooter,Activision,7.43,3.52,0.04,1.17,12.16
35,Call of Duty: Black Ops II,X360,2010,Shooter,Activision,5.69,3.98,0.47,1.79,11.93
36,Call of Duty: Black Ops,PS3,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
37,Super Mario 64,N64,2005,Simulation,Nintendo,2.43,3.25,5.33,0.84,11.85
38,Animal Crossing: Wild World,DS,2007,Shooter,Microsoft Game Studios,7.73,2.72,0.13,1.18,11.77
39,Halo 3,X360,2008,Fighting,Nintendo,5.94,2.29,2.48,0.94,11.65
40,Super Smash Bros. Brawl,Wii,2009,Role-Playing,Nintendo,4.21,2.6,3.96,0.77,11.55
41,Pokémon Heart Gold / Soul Silver Version,DS,2004,Racing,Sony Computer Entertainment,3.01,5.63,1.1,1.62,11.36
42,Gran Turismo 4,PS2,2000,Simulation,Electronic Arts,11.22,0.01,0,0,11.23
43,The Sims,PC,1992,Platform,Nintendo,6.16,2.04,2.69,0.29,11.18
44,Super Mario Land 2: 6 Golden Coins,GB,1997,Racing,Sony Computer Entertainment,4.22,3.87,2.54,0.52,11.15
45,Gran Turismo,PS,2007,Platform,Nintendo,5.73,3.15,1.2,0.72,10.81
