Month,Year,Waist,d,Height ,Weight,BMI,Waist/Hip
October,1961,24,37,64,120,20.59570313,0.648648649
November,1961,22,35,67,120,18.79260414,0.628571429
December,1961,22,35,66.5,115,18.28141783,0.628571429
January,1962,22,34,65,112,18.63573964,0.647058824
February,1962,23,35,64,117,20.08081055,0.657142857
March,1962,23,35,61,104,19.64848159,0.657142857
April,1962,21,34,62,102,18.65400624,0.617647059
May,1962,23,36,68.5,126,18.87751079,0.638888889
June,1962,22,36,64.5,116,19.60170663,0.611111111
July,1962,23,39,67,129,20.20204945,0.58974359
August,1962,23,35,65,120,19.96686391,0.657142857
September,1962,18,34,60,100,19.52777778,0.529411765
October,1962,25,36,66,125,20.17332415,0.694444444
November,1962,22,36,65.5,124,20.31862945,0.611111111
December,1962,20,34,62,102,18.65400624,0.588235294
January,1963,22,33,61,100,18.89277076,0.666666667
February,1963,22,36,65,120,19.96686391,0.611111111
March,1963,22,36,67,125,19.57562932,0.611111111
April,1963,24,36,68.5,137,20.52554745,0.666666667
May,1963,23,36,64,110,18.87939453,0.638888889
June,1963,23,34,66,115,18.55945822,0.676470588
July,1963,24,36,65,123,20.4660355,0.666666667
August,1963,22,35,61,115,21.72668637,0.628571429
September,1963,22,35,63,110,19.4834971,0.628571429
October,1963,26,37,72,150,20.34143519,0.702702703
November,1963,21,35,66,120,19.36639118,0.6
December,1963,22,37,64,118,20.25244141,0.594594595
January,1964,22,35,62,109,19.93418314,0.628571429
February,1964,21,36,66,105,16.94559229,0.583333333
March,1964,25,34,66,120,19.36639118,0.735294118
April,1964,24,36,65,118,19.63408284,0.666666667
May,1964,23,36,65,117,19.46769231,0.638888889
June,1964,23,34,62.5,110,19.79648,0.676470588
July,1964,22,35,62,110,20.11706556,0.628571429
August,1964,22,35,64,112,19.22265625,0.628571429
September,1964,23,36,67,120,18.79260414,0.638888889
October,1964,25,38,66,145,23.40105601,0.657894737
November,1964,23,35,63,117,20.72335601,0.657142857
December,1964,24,36,64,112,19.22265625,0.666666667
January,1965,22,34,65,110,18.30295858,0.647058824
February,1965,23,36,65,115,19.13491124,0.638888889
March,1965,23,36,68.5,130,19.47679685,0.638888889
April,1965,20,34,59,98,19.79143924,0.588235294
May,1965,22,36,63,105,18.5978836,0.611111111
June,1965,22,35,65.5,120,19.66318979,0.628571429
July,1965,23,35,65,120,19.96686391,0.657142857
August,1965,22,36,66,115,18.55945822,0.611111111
September,1965,19,34,65,113,18.80213018,0.558823529
