"link","frequency"
"http://…",23
"http://http://t.co/v6NxLiYT3F",1
"http://t…",23
"http://t.…",220
"http://t.c…",94
"http://t.co…",175
"http://t.co/…",80
"http://t.co/00C042ZLvE",1
"http://t.co/00mjo5GQ22”",1
"http://t.co/016nXlke8P""",1
"http://t.co/029CCssC70",1
"http://t.co/03ByWFUUvp”",1
"http://t.co/04jF3K621x",1
"http://t.co/04ji9qXQN8",38
"http://t.co/061MT97hX1""",1
"http://t.co/06smXSuMFb""",2
"http://t.co/074jrTgzVb",1
"http://t.co/085WkPrBJC",2
"http://t.co/08FkmryhUS""",1
"http://t.co/09VmGjBppn",9
"http://t.co/0bP09KGOuR",1
"http://t.co/0CEgjCubE8",1
"http://t.co/0DBrdnnXEa",1
"http://t.co/0djNoOD6jM",1
"http://t.co/0dpykfWC7n",1
"http://t.co/0EVSUn3gOj”",1
"http://t.co/0F3RyxxYCF",1
"http://t.co/0gTZQFbHdd",2
"http://t.co/0hch6WJjLq",1
"http://t.co/0hF…",9
"http://t.co/0hF1oDfn2N",1
"http://t.co/0IBzC8JTRS”",1
"http://t.co/0if9LsDfFD",1
"http://t.co/0j794Nyeo4”",1
"http://t.co/0JjPwsecXp""",3
"http://t.co/0JYuT6j1rr",1
"http://t.co/0KL3f3bfxB",1
"http://t.co/0KQApcWfNK",1
"http://t.co/0L2QldFS38”",1
"http://t.co/0LlUCWhGqp",1
"http://t.co/0lqWITkv5e",1
"http://t.co/0MeULSZLEF",1
"http://t.co/0MrKU…",1
"http://t.co/0MrKUWSUU8",1
"http://t.co/0MwE36aPxF",1
"http://t.co/0ngme7abki”",1
"http://t.co/0O2EwuaDws",1
"http://t.co/0onhrXOhFj”",1
"http://t.co/0pAQ1pDt4d",1
"http://t.co/0Q1zzaTesZ",1
"http://t.co/0qibJ5LOgO”",1
"http://t.co/0qibJ5LOgO”…",5
"http://t.co/0R4ZwsKo7d”",1
"http://t.co/0rDNmp1DhT”",1
"http://t.co/0rPUnIwCNI",2
"http://t.co/0Rwn1jy1T2",1
"http://t.co/0Sk8mAGsSP",1
"http://t.co/0smKdD8HdX",1
"http://t.co/0tOqJ460vy”",1
"http://t.co/0UkxhitKpl",1
"http://t.co/0VcVXhYMFN”&lt;",1
"http://t.co/0VtddAt2RL",2
"http://t.co/0wA74eEHof",1
"http://t.co/0wh2vD6JaK",1
"http://t.co/0wMTgyHhmt",1
"http://t.co/0Wtxa58SQZ""",1
"http://t.co/0X9AcORkmM",11
"http://t.co/0Xgr3T4ULK”",1
"http://t.co/0XWBUuOSwv",1
"http://t.co/0YfTTPAxJO",1
"http://t.co/0YofHJ1q7J",1
"http://t.co/0Ys9E9KOub",4
"http://t.co/0YTDaOa6Om",11
"http://t.co/0Z1JMx3jWP",1
