Age,GP
18,2
18,42
18,22
18,5
18,17
19,39
19,39
19,41
19,2
19,26
19,4
19,38
19,4
19,4
19,41
19,35
20,15
20,6
20,4
20,5
20,40
20,31
20,33
20,31
20,38
20,24
20,35
20,31
20,31
20,1
20,16
20,2
20,6
20,41
20,38
20,6
20,36
20,5
20,4
20,1
20,6
20,8
21,27
21,15
21,22
21,5
21,38
21,39
21,29
21,42
21,42
21,26
21,42
21,32
21,30
21,38
21,14
21,12
21,17
21,42
21,17
21,1
21,4
21,42
21,2
21,24
21,5
21,36
21,14
21,37
21,20
21,14
21,41
21,41
21,42
21,1
21,31
21,4
21,31
21,3
21,5
21,16
22,4
22,2
22,2
22,30
22,34
22,41
22,17
22,7
22,42
22,10
22,5
22,39
22,42
22,42
22,8
22,41
22,1
22,13
22,32
22,10
22,10
22,5
22,17
22,42
22,1
22,19
22,38
22,37
22,43
22,21
22,28
22,14
22,5
22,44
22,42
22,14
22,33
22,42
22,30
22,31
22,2
22,25
22,18
22,6
22,23
22,39
22,3
22,23
22,32
22,15
22,2
22,8
22,3
22,6
22,31
22,41
22,36
22,41
22,42
22,41
22,35
22,2
22,18
22,42
22,4
22,3
22,15
22,4
22,37
22,32
23,3
23,32
23,30
23,39
23,27
23,32
23,35
23,42
23,6
23,14
23,37
23,13
23,22
23,1
23,40
23,42
23,2
23,15
23,40
23,42
23,9
23,10
23,42
23,12
23,40
23,42
23,41
23,25
23,11
23,9
23,34
23,3
23,32
23,41
23,25
23,26
23,9
23,5
23,10
23,42
23,40
23,39
23,27
23,38
23,16
23,23
23,5
23,1
23,40
23,28
23,33
23,41
23,1
23,41
23,28
23,40
23,33
23,36
23,42
23,38
23,35
23,3
23,3
23,41
23,15
23,20
23,42
23,42
23,42
23,25
24,42
24,34
24,1
24,10
24,20
24,38
24,8
24,41
24,31
24,23
24,2
24,5
24,23
24,20
24,42
24,42
24,33
24,21
24,40
24,30
24,27
24,21
24,41
24,33
24,22
24,22
24,30
24,42
24,40
24,38
24,11
24,4
24,41
24,33
24,42
24,1
24,40
24,29
24,42
24,38
24,41
24,4
24,8
24,31
24,1
24,41
24,30
24,39
24,41
24,43
24,41
24,6
24,1
24,41
24,42
24,2
24,36
24,5
24,25
24,36
25,42
25,42
25,4
25,23
25,2
25,40
25,35
25,30
25,43
25,36
25,42
25,36
25,2
25,29
25,4
25,16
25,40
25,39
25,23
25,37
25,42
25,39
25,1
25,33
25,42
25,2
25,33
25,4
25,42
25,35
25,41
25,42
25,22
25,22
25,30
25,42
25,27
25,32
25,4
25,2
25,39
25,8
25,31
25,4
25,2
25,33
25,41
25,39
25,31
25,42
25,25
25,1
25,27
25,34
25,41
25,41
25,15
25,3
25,3
25,11
25,42
25,37
25,12
25,7
25,8
26,9
26,16
26,42
26,5
26,38
26,32
26,22
26,41
26,42
26,38
26,38
26,40
26,37
26,41
26,26
26,42
26,36
26,24
26,8
26,24
26,40
26,19
26,39
26,4
26,40
26,33
26,9
26,41
26,1
26,24
26,39
26,12
26,32
26,13
26,12
26,41
26,17
26,36
26,32
26,40
26,42
26,13
26,42
26,42
26,28
26,27
26,14
26,37
26,34
26,22
26,30
26,41
26,26
26,29
26,17
26,36
26,36
26,27
26,5
26,26
26,32
26,42
26,41
26,21
26,41
26,2
26,10
26,12
26,42
26,27
26,1
26,42
26,38
27,1
27,42
27,35
27,42
27,23
27,9
27,18
27,41
27,32
27,24
27,37
27,38
27,7
27,35
27,38
27,33
27,15
27,38
27,19
27,42
27,35
27,30
27,39
27,41
27,6
27,29
27,9
27,17
27,41
27,39
27,17
27,32
27,42
27,42
27,41
27,35
27,11
27,40
27,42
27,38
27,42
27,35
27,42
27,30
27,40
27,42
27,10
27,6
27,28
27,41
27,1
27,41
27,42
27,35
27,42
27,31
27,27
27,44
27,42
27,34
27,42
28,4
28,41
28,12
28,37
28,37
28,29
28,42
28,42
28,20
28,42
28,42
28,42
28,27
28,29
28,22
28,39
28,35
28,41
28,33
28,42
28,37
28,14
28,39
28,42
28,30
28,2
28,4
28,32
28,21
28,11
28,43
28,29
28,11
28,39
28,43
28,13
28,16
28,42
28,42
28,39
28,37
28,42
28,38
28,39
28,12
28,42
28,42
28,34
28,9
28,22
28,33
28,3
28,39
28,6
28,22
28,41
28,13
28,33
28,35
28,36
28,17
28,42
28,35
28,2
28,39
28,22
28,1
28,26
28,25
28,25
29,33
29,40
29,38
29,41
29,38
29,6
29,26
29,40
29,39
29,14
29,28
29,42
29,41
29,42
29,35
29,42
29,42
29,1
29,17
29,38
29,38
29,37
29,10
29,37
29,42
29,42
29,32
29,9
29,8
29,10
29,42
29,8
29,41
29,42
29,23
29,43
29,22
29,26
29,22
29,36
29,10
29,1
29,5
29,38
29,42
29,36
29,37
29,43
29,20
29,9
29,33
29,17
29,35
29,33
29,42
30,2
30,35
30,31
30,42
30,40
30,39
30,34
30,6
30,22
30,42
30,38
30,42
30,23
30,37
30,35
30,38
30,42
30,42
30,41
30,26
30,32
30,33
30,41
30,28
30,25
30,28
30,41
30,5
30,39
30,43
30,28
30,40
30,41
30,43
30,41
30,29
30,26
30,28
30,42
30,43
30,42
30,33
31,18
31,35
31,21
31,42
31,6
31,39
31,19
31,41
31,35
31,42
31,41
31,38
31,1
31,4
31,38
31,33
31,18
31,40
31,1
31,42
31,41
31,6
31,39
31,26
31,33
31,28
31,42
31,7
32,36
32,38
32,22
32,42
32,18
32,21
32,19
32,24
32,40
32,36
32,32
32,32
32,36
32,4
32,27
32,34
32,42
32,33
32,44
32,32
32,27
32,9
32,19
32,37
32,42
32,37
32,35
32,42
32,39
32,41
32,42
32,42
32,39
32,39
32,40
33,42
33,41
33,41
33,42
33,41
33,35
33,35
33,19
33,42
33,20
33,42
33,41
33,32
33,38
33,39
33,42
33,40
33,42
34,21
34,35
34,35
34,42
34,41
34,42
34,41
34,42
34,42
34,29
34,41
34,24
34,35
34,42
34,10
34,14
34,42
34,37
34,38
34,1
34,41
34,24
34,24
34,42
34,21
34,20
34,16
35,42
35,23
35,28
35,41
35,34
35,6
35,18
35,35
35,42
35,38
35,30
35,30
35,16
35,31
35,23
35,42
35,42
35,38
35,42
36,12
36,40
36,5
36,36
36,42
36,42
36,41
36,27
36,6
36,39
36,12
36,39
36,4
36,1
36,40
36,40
36,30
37,7
37,42
37,28
37,4
37,1
37,43
37,42
37,42
38,38
38,16
38,42
38,16
38,30
38,18
38,40
38,38
39,33
39,14
40,40
40,40
40,26
40,26
42,42
