Age,PTS
18,0
18,22
18,5
18,0
18,3
19,10
19,15
19,27
19,0
19,4
19,0
19,22
19,0
19,0
19,23
19,19
20,4
20,2
20,0
20,1
20,13
20,9
20,9
20,11
20,24
20,7
20,11
20,15
20,5
20,0
20,2
20,2
20,2
20,24
20,10
20,0
20,22
20,0
20,0
20,0
20,1
20,5
21,12
21,7
21,12
21,0
21,10
21,15
21,7
21,20
21,21
21,5
21,17
21,7
21,4
21,41
21,5
21,0
21,1
21,31
21,3
21,1
21,1
21,16
21,1
21,17
21,1
21,11
21,4
21,17
21,8
21,2
21,23
21,29
21,15
21,0
21,7
21,0
21,17
21,0
21,0
21,5
22,1
22,0
22,0
22,9
22,16
22,11
22,3
22,7
22,11
22,0
22,1
22,17
22,7
22,39
22,2
22,28
22,0
22,2
22,6
22,2
22,2
22,0
22,3
22,10
22,1
22,3
22,17
22,15
22,30
22,5
22,18
22,6
22,0
22,17
22,41
22,10
22,9
22,12
22,9
22,5
22,2
22,11
22,5
22,1
22,3
22,8
22,0
22,3
22,5
22,1
22,0
22,1
22,0
22,1
22,9
22,20
22,11
22,17
22,52
22,34
22,6
22,0
22,7
22,42
22,1
22,2
22,3
22,0
22,17
22,2
23,0
23,7
23,14
23,6
23,15
23,16
23,29
23,25
23,0
23,4
23,5
23,2
23,8
23,0
23,15
23,20
23,0
23,1
23,25
23,30
23,2
23,3
23,20
23,2
23,22
23,27
23,35
23,2
23,1
23,3
23,3
23,0
23,18
23,10
23,7
23,4
23,1
23,2
23,2
23,9
23,15
23,15
23,9
23,5
23,5
23,8
23,2
23,0
23,20
23,8
23,12
23,8
23,1
23,10
23,6
23,9
23,14
23,36
23,14
23,7
23,4
23,1
23,0
23,24
23,3
23,5
23,30
23,42
23,23
23,19
24,4
24,18
24,0
24,2
24,5
24,11
24,2
24,22
24,7
24,10
24,0
24,0
24,3
24,2
24,3
24,7
24,3
24,10
24,10
24,11
24,6
24,6
24,20
24,7
24,3
24,4
24,4
24,47
24,24
24,33
24,2
24,0
24,19
24,6
24,19
24,0
24,17
24,6
24,18
24,34
24,23
24,0
24,4
24,6
24,0
24,22
24,4
24,27
24,15
24,12
24,26
24,0
24,0
24,29
24,44
24,0
24,6
24,1
24,1
24,13
25,11
25,44
25,2
25,6
25,0
25,24
25,5
25,8
25,8
25,8
25,22
25,56
25,1
25,6
25,1
25,1
25,18
25,24
25,12
25,9
25,41
25,18
25,0
25,20
25,10
25,0
25,10
25,0
25,43
25,13
25,37
25,15
25,9
25,0
25,30
25,27
25,5
25,5
25,1
25,0
25,32
25,1
25,6
25,0
25,0
25,15
25,9
25,16
25,5
25,28
25,4
25,0
25,2
25,12
25,18
25,31
25,4
25,0
25,0
25,0
25,7
25,7
25,3
25,1
25,2
26,2
26,0
26,22
26,0
26,6
26,14
26,0
26,3
26,26
26,22
26,5
26,12
26,8
26,11
26,5
26,24
26,2
26,9
26,0
26,14
26,19
26,2
26,8
26,2
26,17
26,14
26,0
26,25
26,0
26,14
26,16
26,1
26,1
26,1
26,2
26,10
26,9
26,7
26,11
26,31
26,22
26,2
26,13
26,9
26,29
26,4
26,3
26,9
26,11
26,9
26,20
26,5
26,9
26,19
26,0
26,19
26,3
26,3
26,0
26,3
26,12
26,25
26,3
26,11
26,6
26,0
26,4
26,1
26,32
26,9
26,0
26,24
26,12
27,0
27,7
27,31
27,14
27,4
27,0
27,4
27,29
27,2
27,15
27,24
27,20
27,0
27,14
27,14
27,5
27,4
27,8
27,13
27,26
27,15
27,8
27,44
27,24
27,0
27,17
27,1
27,6
27,22
27,6
27,6
27,8
27,38
27,10
27,23
27,18
27,2
27,10
27,46
27,31
27,26
27,0
27,34
27,2
27,21
27,29
27,2
27,1
27,4
27,18
27,0
27,13
27,22
27,21
27,8
27,5
27,2
27,23
27,19
27,8
27,15
28,1
28,23
28,3
28,17
28,5
28,3
28,10
28,26
28,2
28,19
28,29
28,21
28,6
28,6
28,15
28,10
28,15
28,28
28,7
28,14
28,6
28,0
28,14
28,7
28,4
28,0
28,0
28,9
28,6
28,11
28,12
28,9
28,1
28,16
28,10
28,0
28,11
28,8
28,18
28,7
28,35
28,24
28,6
28,14
28,4
28,34
28,26
28,9
28,0
28,6
28,12
28,0
28,38
28,0
28,1
28,44
28,1
28,25
28,3
28,3
28,4
28,31
28,10
28,0
28,12
28,1
28,0
28,0
28,4
28,13
29,10
29,18
29,6
29,12
29,12
29,2
29,2
29,13
29,14
29,2
29,2
29,11
29,14
29,1
29,14
29,13
29,15
29,1
29,3
29,20
29,15
29,25
29,0
29,16
29,23
29,34
29,27
29,4
29,6
29,14
29,16
29,0
29,39
29,10
29,2
29,40
29,9
29,2
29,4
29,25
29,4
29,0
29,5
29,23
29,28
29,3
29,6
29,19
29,4
29,2
29,34
29,4
29,13
29,13
29,22
30,1
30,5
30,2
30,31
30,3
30,28
30,15
30,1
30,6
30,19
30,6
30,25
30,5
30,10
30,8
30,26
30,14
30,22
30,9
30,11
30,7
30,8
30,26
30,4
30,8
30,2
30,5
30,1
30,4
30,23
30,12
30,16
30,30
30,31
30,7
30,0
30,2
30,4
30,17
30,17
30,18
30,4
31,1
31,11
31,11
31,24
31,0
31,21
31,5
31,12
31,13
31,7
31,12
31,5
31,0
31,0
31,8
31,21
31,2
31,20
31,0
31,11
31,6
31,1
31,14
31,18
31,15
31,21
31,29
31,0
32,6
32,16
32,0
32,22
32,7
32,1
32,1
32,5
32,16
32,19
32,14
32,4
32,21
32,0
32,6
32,0
32,26
32,28
32,23
32,8
32,10
32,0
32,4
32,5
32,8
32,8
32,3
32,41
32,23
32,34
32,37
32,41
32,20
32,5
32,38
33,12
33,24
33,11
33,35
33,11
33,25
33,13
33,1
33,47
33,7
33,28
33,11
33,2
33,4
33,5
33,5
33,27
33,37
34,2
34,11
34,6
34,13
34,11
34,16
34,41
34,13
34,23
34,1
34,10
34,10
34,28
34,14
34,3
34,1
34,26
34,11
34,17
34,0
34,11
34,11
34,1
34,11
34,4
34,7
34,6
35,8
35,3
35,14
35,17
35,16
35,3
35,0
35,4
35,13
35,26
35,4
35,17
35,2
35,5
35,5
35,11
35,23
35,5
35,17
36,0
36,20
36,1
36,26
36,24
36,31
36,3
36,11
36,1
36,8
36,2
36,2
36,1
36,0
36,10
36,16
36,10
37,3
37,9
37,0
37,1
37,0
37,27
37,52
37,27
38,22
38,1
38,27
38,2
38,1
38,0
38,16
38,14
39,4
39,5
40,23
40,33
40,8
40,25
42,23
