"source","target"
51176457,"web"
531824067,"web"
116029001,"web"
30172583,"web"
299724272,"web"
847519771,"web"
358431493,"web"
112997089,"web"
48140969,"web"
565104419,"web"
299943802,"web"
165512178,"web"
58684257,"web"
84358793,"web"
47354612,"web"
42179042,"web"
583964079,"web"
557470514,"web"
109496898,"web"
262405674,"web"
103467457,"web"
433117163,"web"
113456717,"web"
109615408,"web"
154457206,"web"
462515669,"web"
266709049,"web"
105968908,"web"
333519586,"web"
227759068,"web"
113456717,"web"
586258441,"web"
129738445,"web"
135945392,"web"
205252643,"web"
51602461,"web"
87976216,"web"
239171003,"web"
37185015,"web"
361191736,"web"
121592397,"web"
242058681,"web"
22994484,"web"
392560870,"web"
766749654,"web"
242058681,"web"
38343689,"web"
260931927,"web"
544791121,"web"
557470514,"web"
1201586072,"web"
371150894,"web"
227759068,"web"
921188095,"web"
320877434,"web"
38004220,"web"
1283922354,"web"
465044072,"web"
127648294,"web"
537762061,"web"
39287796,"web"
739407097,"web"
94030033,"web"
30172583,"web"
495077340,"web"
222912182,"web"
321712548,"web"
153866050,"web"
114572836,"web"
23526807,"web"
38945051,"web"
229598366,"web"
113456717,"web"
137024580,"web"
356712189,"web"
260787538,"web"
107480189,"web"
175831714,"web"
1259148326,"web"
118847454,"web"
25842096,"web"
557470514,"web"
1317528925,"web"
26883100,"web"
54811691,"web"
190879057,"web"
592257902,"web"
131294858,"web"
248219087,"web"
91279623,"web"
32665543,"web"
47240704,"web"
145423500,"web"
557470514,"web"
189286446,"web"
51602461,"web"
114572836,"web"
1264632534,"web"
101168105,"web"
39287796,"web"
113456717,"web"
612251522,"web"
297145204,"web"
360278016,"web"
21604007,"web"
68505679,"web"
124911126,"web"
34508819,"web"
54555773,"web"
858635832,"web"
16992943,"web"
416003202,"web"
37091139,"web"
33223648,"web"
34508819,"web"
113456717,"web"
1350811363,"web"
15052671,"web"
94030033,"web"
191582595,"web"
1000646432,"web"
594131938,"web"
67105730,"web"
113456717,"web"
586780143,"web"
336053544,"web"
59397902,"web"
392560870,"web"
15603912,"web"
28983304,"web"
72424795,"web"
118847454,"web"
25140008,"web"
446028266,"web"
333519586,"web"
83333022,"web"
336053544,"web"
65922536,"web"
245435539,"web"
113456717,"web"
174104593,"web"
844765806,"web"
244065133,"web"
46592563,"web"
17259137,"web"
72853520,"web"
214556655,"web"
113456717,"web"
14861810,"web"
493482043,"web"
1359626060,"web"
29812012,"web"
278267920,"web"
97988548,"web"
72853520,"web"
388879986,"web"
104662796,"web"
294975018,"web"
381217069,"web"
487240824,"web"
334878954,"web"
358431493,"web"
221045454,"web"
57506485,"web"
114033042,"web"
54788655,"web"
310089291,"web"
28833850,"web"
23538032,"web"
487240824,"web"
297145204,"web"
64690816,"web"
705147457,"web"
838216352,"web"
379481484,"web"
400944333,"web"
333160864,"web"
103630634,"web"
487240824,"web"
322485228,"web"
208719543,"web"
22367943,"web"
371526803,"web"
128979642,"web"
413718549,"web"
176881685,"web"
34508819,"web"
391354777,"web"
27820760,"web"
341904849,"web"
1337634956,"web"
459888024,"web"
393636238,"web"
190929128,"web"
234514309,"web"
109496898,"web"
1359626060,"web"
14097779,"web"
792762128,"web"
34508819,"web"
426928402,"web"
91271038,"web"
83333022,"web"
364095416,"web"
806385307,"web"
472439500,"web"
376390162,"web"
166651321,"web"
545315271,"web"
1352418066,"web"
268812772,"web"
26610196,"web"
330120722,"web"
88839671,"web"
461772808,"web"
237860444,"web"
35065835,"web"
15088104,"web"
44436009,"web"
327781402,"web"
69213814,"web"
411998377,"web"
775014884,"web"
332548836,"web"
336053544,"web"
1359626060,"web"
271530483,"web"
183003915,"web"
255517166,"web"
281823841,"web"
197128947,"web"
244065133,"web"
137024580,"web"
1175538882,"web"
325366691,"web"
534760581,"web"
28822212,"web"
211587685,"web"
1288873692,"web"
29594508,"web"
113658646,"web"
257677354,"web"
67379566,"web"
50154602,"web"
72147554,"web"
636755536,"web"
99853204,"web"
126463827,"web"
274829892,"web"
415982507,"web"
428647648,"web"
175560346,"web"
34508819,"web"
1158135198,"web"
35379884,"web"
62155501,"web"
94030033,"web"
38032945,"web"
487240824,"web"
362831974,"web"
508269609,"web"
141740171,"web"
25842096,"web"
447260560,"web"
84330717,"web"
64545945,"web"
17694468,"web"
15708354,"web"
615112213,"web"
336053544,"web"
26294690,"web"
376472195,"web"
215843098,"web"
35385936,"web"
103630634,"web"
452467543,"web"
30901895,"web"
261369681,"web"
393636238,"web"
22131712,"web"
310464812,"web"
121763711,"web"
34508819,"web"
79791400,"web"
106547728,"web"
83333022,"web"
284962419,"web"
14097779,"web"
569541835,"web"
390482758,"web"
84754990,"web"
1101238476,"web"
101643684,"web"
484620833,"web"
336053544,"web"
170421521,"web"
275658985,"web"
302878845,"web"
267841461,"web"
350708031,"web"
278090331,"web"
406335561,"web"
444126922,"web"
57021639,"web"
302146282,"web"
2108531,"web"
316132584,"web"
21604007,"web"
484620833,"web"
300355233,"web"
322394584,"web"
166547999,"web"
104226574,"web"
341095302,"web"
1306576398,"web"
38420961,"web"
350708031,"web"
389129967,"web"
1133127614,"web"
608779746,"web"
302146282,"web"
39097882,"web"
789878702,"web"
527812559,"web"
56612601,"web"
36784176,"web"
308243044,"web"
119294791,"web"
127648294,"web"
586258441,"web"
14861810,"web"
534760581,"web"
63744673,"web"
1214279148,"web"
464113367,"web"
74053031,"web"
1056552596,"web"
208317185,"web"
393254695,"web"
24638514,"web"
340381565,"web"
365591244,"web"
565104419,"web"
902915935,"web"
238583542,"web"
50866314,"web"
327781402,"web"
284596624,"web"
838216352,"web"
557470514,"web"
27060143,"web"
302146282,"web"
1337634956,"web"
1000546747,"web"
274700845,"web"
14361306,"web"
77686689,"web"
170421521,"web"
33931364,"web"
1025778211,"web"
310285439,"web"
24638514,"web"
27402907,"web"
302146282,"web"
716526715,"web"
412680832,"web"
112087111,"web"
350708031,"web"
39882023,"web"
328308319,"web"
36643006,"web"
522623083,"web"
537762061,"web"
491694593,"web"
50154602,"web"
338744449,"web"
325906383,"web"
288497614,"web"
30965487,"web"
760923277,"web"
132819083,"web"
77686689,"web"
311071260,"web"
718225465,"web"
14304501,"web"
119294791,"web"
34514769,"web"
25610314,"web"
172093787,"web"
92671731,"web"
25507272,"web"
186052544,"web"
816487645,"web"
114033042,"web"
497321520,"web"
543157448,"web"
310291713,"web"
275214820,"web"
1364616728,"web"
775014884,"web"
350708031,"web"
269026565,"web"
1053668558,"web"
77288462,"web"
551432700,"web"
311717880,"web"
599455091,"web"
246835235,"web"
31628213,"web"
1337634956,"web"
144664384,"web"
24170087,"web"
72880098,"web"
62943011,"web"
99738142,"web"
294925689,"web"
569322929,"web"
719217896,"web"
266867464,"web"
70624643,"web"
451855603,"web"
334339713,"web"
229598366,"web"
322272724,"web"
48375295,"web"
350708031,"web"
261369681,"web"
380884067,"web"
459808944,"web"
336053544,"web"
938179226,"web"
260484012,"web"
70297864,"web"
211587685,"web"
296018424,"web"
102126818,"web"
944360065,"web"
390051183,"web"
1223224909,"web"
125499769,"web"
335075269,"web"
39882023,"web"
50154602,"web"
230296172,"web"
301128654,"web"
35385936,"web"
1269719851,"web"
393636238,"web"
113822956,"web"
84491162,"web"
219218192,"web"
150841632,"web"
303112750,"web"
457955858,"web"
311290480,"web"
487745074,"web"
222948727,"web"
49014993,"web"
426928402,"web"
267313367,"web"
1345734037,"web"
232043827,"web"
1053946364,"web"
101387291,"web"
428585903,"web"
1031061578,"web"
440122476,"web"
349117641,"web"
35818208,"web"
367121033,"web"
331961736,"web"
199032224,"web"
753712136,"web"
45288271,"web"
66071310,"web"
1305268471,"web"
321600411,"web"
215074122,"web"
46022705,"web"
177428453,"web"
172978525,"web"
43226709,"web"
294925689,"web"
757713978,"web"
53788660,"web"
772539080,"web"
22115384,"web"
357963468,"web"
359698365,"web"
362831974,"web"
292663543,"web"
378421933,"web"
620499499,"web"
284189098,"web"
418206112,"web"
557470514,"web"
22707049,"web"
230933856,"web"
350054193,"web"
21927929,"web"
24695962,"web"
34022762,"web"
110897013,"web"
389844603,"web"
278903295,"web"
43760780,"web"
208317185,"web"
766125152,"web"
522529439,"web"
514967089,"web"
46022705,"web"
27349616,"web"
557470514,"web"
303905761,"web"
303003974,"web"
39882023,"web"
94030033,"web"
1240052984,"web"
347197676,"web"
456168675,"web"
58804874,"web"
130630736,"web"
1067487559,"web"
586258441,"web"
499516485,"web"
70641005,"web"
150437645,"web"
494238508,"web"
71698964,"web"
104662796,"web"
172958971,"web"
80589377,"web"
416784656,"web"
276197961,"web"
512243082,"web"
39689163,"web"
348183714,"web"
546864838,"web"
53705969,"web"
284189098,"web"
245435539,"web"
352552504,"web"
339312045,"web"
64841815,"web"
49789865,"web"
1209460824,"web"
111937689,"web"
71698964,"web"
604121408,"web"
46022705,"web"
434213399,"web"
300609266,"web"
185787848,"web"
303905761,"web"
522529439,"web"
318305461,"web"
346990986,"web"
285972219,"web"
456079971,"web"
61178364,"web"
64690816,"web"
129242918,"web"
41391415,"web"
403069247,"web"
527812559,"web"
93027970,"web"
457829263,"web"
619255354,"web"
34724268,"web"
19304275,"web"
17296910,"web"
302382525,"web"
40515391,"web"
37566046,"web"
157738186,"web"
463547543,"web"
30112528,"web"
404487135,"web"
437577840,"web"
900635186,"web"
277330039,"web"
384267076,"web"
137544759,"web"
278943643,"web"
770828881,"web"
311807009,"web"
280260997,"web"
16426157,"web"
66737447,"web"
172978525,"web"
169226510,"web"
201188859,"web"
222948727,"web"
356854470,"web"
277561609,"web"
528712328,"web"
242529347,"web"
329471320,"web"
214323637,"web"
392560870,"web"
79791400,"web"
573123959,"web"
19747572,"web"
266977342,"web"
56854566,"web"
250681069,"web"
264562311,"web"
388513887,"web"
36047300,"web"
144734167,"web"
111491372,"web"
268552045,"web"
567654759,"web"
1069108177,"web"
595057834,"web"
257616324,"web"
208317185,"web"
586258441,"web"
1029568476,"web"
50841344,"web"
383882834,"web"
559862354,"web"
388021738,"web"
185003472,"web"
376562082,"web"
