"source","target"
51176457,"NULL"
531824067,"911686213"
116029001,"NULL"
30172583,"NULL"
299724272,"NULL"
847519771,"970717333"
358431493,"NULL"
112997089,"NULL"
48140969,"NULL"
565104419,"NULL"
299943802,"NULL"
165512178,"NULL"
58684257,"NULL"
84358793,"NULL"
47354612,"NULL"
42179042,"373538561"
583964079,"NULL"
557470514,"NULL"
109496898,"NULL"
262405674,"NULL"
103467457,"59397902"
433117163,"NULL"
113456717,"NULL"
109615408,"394491103"
154457206,"NULL"
462515669,"NULL"
266709049,"NULL"
105968908,"NULL"
333519586,"NULL"
227759068,"NULL"
113456717,"NULL"
586258441,"NULL"
129738445,"394491103"
135945392,"NULL"
205252643,"NULL"
51602461,"NULL"
87976216,"NULL"
239171003,"297145204"
37185015,"NULL"
361191736,"NULL"
121592397,"NULL"
242058681,"NULL"
22994484,"NULL"
392560870,"NULL"
766749654,"394491103"
242058681,"NULL"
38343689,"NULL"
260931927,"NULL"
544791121,"NULL"
557470514,"NULL"
1201586072,"394491103"
371150894,"NULL"
227759068,"NULL"
921188095,"NULL"
320877434,"NULL"
38004220,"NULL"
1283922354,"394491103"
465044072,"239446229"
127648294,"394491103"
537762061,"NULL"
39287796,"NULL"
739407097,"394491103"
94030033,"NULL"
30172583,"NULL"
495077340,"NULL"
222912182,"NULL"
321712548,"394491103"
153866050,"NULL"
114572836,"NULL"
23526807,"NULL"
38945051,"NULL"
229598366,"NULL"
113456717,"NULL"
137024580,"59397902"
356712189,"341808568"
260787538,"NULL"
107480189,"NULL"
175831714,"NULL"
1259148326,"NULL"
118847454,"NULL"
25842096,"NULL"
557470514,"NULL"
1317528925,"NULL"
26883100,"NULL"
54811691,"NULL"
190879057,"394491103"
592257902,"NULL"
131294858,"394491103"
248219087,"394491103"
91279623,"NULL"
32665543,"NULL"
47240704,"NULL"
145423500,"NULL"
557470514,"NULL"
189286446,"NULL"
51602461,"NULL"
114572836,"NULL"
1264632534,"NULL"
101168105,"NULL"
39287796,"NULL"
113456717,"NULL"
612251522,"394491103"
297145204,"NULL"
360278016,"394491103"
21604007,"NULL"
68505679,"NULL"
124911126,"394491103"
34508819,"NULL"
54555773,"NULL"
858635832,"394491103"
16992943,"NULL"
416003202,"NULL"
37091139,"NULL"
33223648,"NULL"
34508819,"NULL"
113456717,"NULL"
1350811363,"NULL"
15052671,"NULL"
94030033,"NULL"
191582595,"NULL"
1000646432,"NULL"
594131938,"394491103"
67105730,"NULL"
113456717,"NULL"
586780143,"NULL"
336053544,"NULL"
59397902,"137024580"
392560870,"394491103"
15603912,"NULL"
28983304,"NULL"
72424795,"145276723"
118847454,"NULL"
25140008,"NULL"
446028266,"NULL"
333519586,"NULL"
83333022,"NULL"
336053544,"NULL"
65922536,"1125879991"
245435539,"25507272"
113456717,"NULL"
174104593,"NULL"
844765806,"394491103"
244065133,"NULL"
46592563,"NULL"
17259137,"NULL"
72853520,"NULL"
214556655,"NULL"
113456717,"NULL"
14861810,"NULL"
493482043,"NULL"
1359626060,"NULL"
29812012,"NULL"
278267920,"129829764"
97988548,"NULL"
72853520,"NULL"
388879986,"394491103"
104662796,"242173004"
294975018,"262383083"
381217069,"NULL"
487240824,"NULL"
334878954,"NULL"
358431493,"NULL"
221045454,"NULL"
57506485,"NULL"
114033042,"394491103"
54788655,"NULL"
310089291,"36149324"
28833850,"109012463"
23538032,"394491103"
487240824,"NULL"
297145204,"NULL"
64690816,"NULL"
705147457,"394491103"
838216352,"NULL"
379481484,"NULL"
400944333,"365591244"
333160864,"394491103"
103630634,"394491103"
487240824,"NULL"
322485228,"394491103"
208719543,"394491103"
22367943,"NULL"
371526803,"NULL"
128979642,"NULL"
413718549,"394491103"
176881685,"NULL"
34508819,"NULL"
391354777,"NULL"
27820760,"394491103"
341904849,"NULL"
1337634956,"77686689"
459888024,"NULL"
393636238,"NULL"
190929128,"NULL"
234514309,"545582787"
109496898,"394491103"
1359626060,"NULL"
14097779,"NULL"
