"time","tweets"
"2013-04-19 19:31:34",1
"2013-04-19 19:31:35",1
"2013-04-19 19:31:36",4
"2013-04-19 19:31:37",2
"2013-04-19 19:31:38",5
"2013-04-19 19:31:39",3
"2013-04-19 19:31:40",3
"2013-04-19 19:31:41",1
"2013-04-19 19:31:42",4
"2013-04-19 19:31:44",2
"2013-04-19 19:31:45",3
"2013-04-19 19:31:46",7
"2013-04-19 19:31:47",1
"2013-04-19 19:31:49",1
"2013-04-19 19:31:50",4
"2013-04-19 19:31:51",3
"2013-04-19 19:31:52",2
"2013-04-19 19:31:53",3
"2013-04-19 19:31:54",3
"2013-04-19 19:31:55",3
"2013-04-19 19:31:56",1
"2013-04-19 19:31:57",1
"2013-04-19 19:31:58",3
"2013-04-19 19:31:59",2
"2013-04-19 19:32:00",3
"2013-04-19 19:32:01",2
"2013-04-19 19:32:02",8
"2013-04-19 19:32:03",3
"2013-04-19 19:32:04",4
"2013-04-19 19:32:05",2
"2013-04-19 19:32:06",4
"2013-04-19 19:32:07",4
"2013-04-19 19:32:08",3
"2013-04-19 19:32:09",2
"2013-04-19 19:32:10",4
"2013-04-19 19:32:13",1
"2013-04-19 19:32:14",1
"2013-04-19 19:32:15",2
"2013-04-19 19:32:16",2
"2013-04-19 19:32:17",2
"2013-04-19 19:32:18",3
"2013-04-19 19:32:19",1
"2013-04-19 19:32:20",5
"2013-04-19 19:32:21",2
"2013-04-19 19:32:22",6
"2013-04-19 19:32:23",2
"2013-04-19 19:32:24",1
"2013-04-19 19:32:25",3
"2013-04-19 19:32:26",1
"2013-04-19 19:32:27",2
"2013-04-19 19:32:29",5
"2013-04-19 19:32:30",4
"2013-04-19 19:32:32",2
"2013-04-19 19:32:33",2
"2013-04-19 19:32:34",1
"2013-04-19 19:32:35",4
"2013-04-19 19:32:36",1
"2013-04-19 19:32:37",2
"2013-04-19 19:32:38",2
"2013-04-19 19:32:39",5
"2013-04-19 19:32:40",2
"2013-04-19 19:32:42",5
"2013-04-19 19:32:43",4
"2013-04-19 19:32:44",3
"2013-04-19 19:32:45",1
"2013-04-19 19:32:47",4
"2013-04-19 19:32:48",3
"2013-04-19 19:32:49",2
"2013-04-19 19:32:50",1
"2013-04-19 19:32:51",1
"2013-04-19 19:32:52",2
"2013-04-19 19:32:53",5
"2013-04-19 19:32:54",4
"2013-04-19 19:32:55",4
"2013-04-19 19:32:56",5
"2013-04-19 19:32:57",1
"2013-04-19 19:32:58",4
"2013-04-19 19:33:00",3
"2013-04-19 19:33:01",1
"2013-04-19 19:33:02",2
"2013-04-19 19:33:04",2
"2013-04-19 19:33:05",3
"2013-04-19 19:33:06",5
"2013-04-19 19:33:07",3
"2013-04-19 19:33:09",3
"2013-04-19 19:33:10",2
"2013-04-19 19:33:12",2
"2013-04-19 19:33:13",5
"2013-04-19 19:33:14",3
"2013-04-19 19:33:16",1
"2013-04-19 19:33:17",2
"2013-04-19 19:33:19",2
"2013-04-19 19:33:20",2
"2013-04-19 19:33:21",4
"2013-04-19 19:33:22",2
"2013-04-19 19:33:23",3
"2013-04-19 19:33:24",3
"2013-04-19 19:33:25",3
"2013-04-19 19:33:26",3
"2013-04-19 19:33:27",1
"2013-04-19 19:33:28",2
"2013-04-19 19:33:29",4
"2013-04-19 19:33:30",2
"2013-04-19 19:33:31",3
"2013-04-19 19:33:32",2
"2013-04-19 19:33:33",1
"2013-04-19 19:33:34",3
"2013-04-19 19:33:35",2
"2013-04-19 19:33:36",2
"2013-04-19 19:33:37",2
"2013-04-19 19:33:38",3
"2013-04-19 19:33:39",2
"2013-04-19 19:33:40",3
"2013-04-19 19:33:41",5
"2013-04-19 19:33:42",3
"2013-04-19 19:33:43",1
"2013-04-19 19:33:44",1
"2013-04-19 19:33:45",1
"2013-04-19 19:33:46",3
"2013-04-19 19:33:47",4
"2013-04-19 19:33:48",3
"2013-04-19 19:33:49",6
"2013-04-19 19:33:50",4
"2013-04-19 19:33:51",3
"2013-04-19 19:33:52",4
"2013-04-19 19:33:53",5
"2013-04-19 19:33:54",2
"2013-04-19 19:33:55",2
"2013-04-19 19:33:56",3
"2013-04-19 19:33:57",2
"2013-04-19 19:33:58",3
"2013-04-19 19:33:59",5
"2013-04-19 19:34:00",10
"2013-04-19 19:34:01",4
"2013-04-19 19:34:02",2
"2013-04-19 19:34:04",4
"2013-04-19 19:34:05",6
"2013-04-19 19:34:06",1
"2013-04-19 19:34:07",2
"2013-04-19 19:34:09",2
"2013-04-19 19:34:10",2
"2013-04-19 19:34:11",5
"2013-04-19 19:34:12",2
"2013-04-19 19:34:13",4
"2013-04-19 19:34:14",1
"2013-04-19 19:34:43",1
"2013-04-19 19:34:44",1
"2013-04-19 19:34:45",2
"2013-04-19 19:34:46",3
"2013-04-19 19:34:47",1
"2013-04-19 19:34:48",2
"2013-04-19 19:34:49",3
