"","x"
"",182
"""@ABC: According to a friend and other evidence examined by @ABC News, Dzhokhar Tsarnaev’s twitter account appears to be @J_tsar""",6
"""@J_tsar: @ImRealTed fake story""",4
"""@J_tsar: @MelloChamp and they what ""god hates dead people?"" Or victims of tragedies? Lol those people are cooked""",4
"""@J_tsar: Ain't no love in the heart of the city, stay safe people""",29
"""@J_tsar: Ain't no love in the heart of the city, stay safe people"" wow",3
"""@J_tsar: Being bilingual is da bomb""",5
"""@J_tsar: chief keef is garbage and that's #3hunna""",3
"""@J_tsar: Evil triumphs when good men do nothing""",7
"""@J_tsar: Gain knowledge, get women, acquire currency #livestrong""",5
"""@J_tsar: I bought a pack of orbit today and the guy at the cash register asked if I wanted a bag. So I made him double bag it""",5
"""@J_tsar: i didn't become a lifeguard to just chill and get paid, i do it for the people, saving lives brings me joy #lifeguardoftheyear""",3
"""@J_tsar: I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot remain an idiot""",5
"""@J_tsar: I'm a stress free kind of guy""",28
"""@J_tsar: If you have the knowledge and the inspiration all that's left is to take action""",8
"""@J_tsar: Most of you are conditioned by the media""",22
"""@J_tsar: Never underestimate the rebel with a cause""",8
"""@J_tsar: No matter where life takes me you'll still find me with a smile""",4
"""@J_tsar: No one is really violent until they're with the homies""",8
"""@J_tsar: Now we aint come here to start no drama, we just looking for our future baby mamas""",6
"""@J_tsar: Once you feel you are avoided by someone, never disturb them again""",4
"""@J_tsar: People that don't know how to apologize will be sorry one day""",3
"""@J_tsar: So then I says to him, I says, relax bro my beard is not loaded""",8
"“@ABC: According to a friend and other evidence examined by @ABC News, Dzhokhar Tsarnaev’s twitter account appears to be @J_tsar”",13
"“@J_tsar: ""Studying"" is just a combination of the words student and dying”",5
"“@J_tsar: @ImRealTed fake story”",15
"“@J_tsar: @ImRealTed fake story” ",3
"“@J_tsar: @ImRealTed fake story” oh my god",3
"“@J_tsar: @ImRealTed fake story” omg",6
"“@J_tsar: @MelloChamp and they what ""god hates dead people?"" Or victims of tragedies? Lol those people are cooked”",11
"“@J_tsar: @therealAbdul_ boston marathon isn't a good place to smoke tho”",6
"“@J_tsar: @therealAbdul_ boston marathon isn't a good place to smoke tho” ",4
"“@J_tsar: Ain't no love in the heart of the city, stay safe people”",50
"“@J_tsar: Ain't no love in the heart of the city, stay safe people” ",20
"“@J_tsar: Ain't no love in the heart of the city, stay safe people” fuck you",5
"“@J_tsar: Ain't no love in the heart of the city, stay safe people” irony",3
"“@J_tsar: Ain't no love in the heart of the city, stay safe people” smh",4
