"tweetscreenamecounts","Freq"
"1000036572",1
"1000041649",1
"1000052485",3
"1000058262",1
"1000076029",2
"1000150166",1
"1000155631",1
"1000314991",2
"100038651",1
"100045588",1
"1000490580",1
"1000527175",2
"1000546747",6
"1000562899",3
"1000564626",1
"1000570297",1
"1000597855",1
"1000621038",1
"1000646432",13
"100069902",1
"1000709960",1
"100073343",1
"1000737451",1
"1000739965",1
"100074069",2
"1000749326",2
"1000757617",1
"1000769935",1
"1000785852",2
"1000787454",1
"1000910197",2
"100091289",1
"100093603",1
"100103562",2
"100109804",1
"100113280",2
"100125410",1
"1001308369",1
"1001376734",6
"100147077",1
"100169799",1
"1001732268",2
"1001763564",1
"100177778",2
"100179438",1
"1001858754",1
"1001929386",1
"1001936251",2
"1002056874",1
"1002080966",2
"1002103154",4
"1002203029",2
"1002304334",2
"1002349616",1
"1002427856",1
"1002440023",2
"1002454112",1
"1002525782",1
"100264150",1
"1002649405",1
"100269749",1
"1002716162",1
"1002840175",1
"100289526",1
"1002940568",1
"100294356",1
"1002957859",1
"100298359",1
"100300239",1
"1003009724",1
"1003020294",1
"1003064023",2
"1003083559",1
"100308780",1
"1003165980",2
"100316920",5
"1003196430",1
"1003208436",1
"100323565",1
"1003325874",1
"100332944",2
"100341027",1
"100348882",10
"1003556426",1
"100356963",1
"100358017",1
"100361843",5
"100369165",1
"100373001",1
"1003739616",1
"1003825741",2
"100396789",1
"100411299",1
"1004129204",10
"1004223758",1
"100425916",1
"100430860",2
"100447556",1
"1004524484",1
"1004526378",1
"1004528222",1
"1004589492",2
"1004656316",1
"1004726544",1
"1004814950",1
"1004896579",1
"1004911760",1
"1004923670",1
"100504708",1
"1005075926",1
"100509918",1
"1005147523",1
"100514908",1
"1005185838",1
"100521269",2
"1005216410",1
"1005244412",2
"1005269346",11
"100527170",1
"100528665",1
"1005288362",1
"100530163",1
"1005366920",1
"100536716",1
"100539496",1
"1005396096",1
"1005413575",1
"100544754",1
"1005449143",1
"1005456108",1
"1005459343",1
"1005483668",2
"100553711",1
"1005554204",1
"100565723",2
"100567207",2
"1005692720",1
"100570218",2
"100574197",1
"1005832747",1
"1005929251",1
"1005988182",1
"100599745",1
"100603001",1
"100605030",2
"100606185",9
"100606529",1
"100607314",1
"100608517",2
"100633061",1
"1006394125",1
"100646892",1
"1006513362",1
"10065762",1
"100662055",1
"100676135",2
"1006923415",1
"1007070608",2
"100711784",1
"100716210",1
"100719419",11
"1007286768",1
"1007315947",1
"1007358908",1
"1007381168",1
"1007419286",11
"1007424673",2
"1007622991",1
"1007626944",2
"1007671454",1
"1007741358",1
"1007805918",1
"1007825384",1
"1007830832",1
"1007921438",1
"1007954588",1
"1007955480",2
"100796899",2
"1007995626",1
"1008013032",1
"100812246",26
"100839013",1
"1008446324",1
"100845917",1
"100848731",1
"100849816",1
"1008559070",4
"100859144",11
"100875635",1
"100879260",1
"100879474",1
"100879960",3
"100881849",1
"100884243",1
"100886454",5
"1008880903",1
"100897445",1
"100901118",2
"1009074588",1
"1009087717",3
"100912152",1
"100914472",1
"100920725",1
"100921740",2
"100930456",1
"100932018",3
"1009453238",1
"1009507993",5
"1009510801",1
"1009517474",4
"1009526030",1
"100953013",1
"1009577982",1
"1009610748",1
"1009632565",1
"1009680433",1
"1009735064",3
"1009857175",2
"1009931256",1
"100998328",2
"1010003803",1
"101002664",2
"1010058462",3
"1010150210",2
"1010160205",1
"1010286146",1
"101030872",6
"101031810",1
"101038753",5
"101040328",1
"1010406943",1
"1010541546",1
"1010601302",1
"1010607428",17
"1010695802",1
"101070813",1
"101072427",1
"1010742194",1
"1010778211",1
"1010810484",2
"101101609",1
"101105180",1
"101106237",4
"101108850",1
"101110784",1
"101110861",1
"101112795",1
"101113431",3
"1011199262",5
"1011250771",1
"1011380888",9
"101144051",1
"101148379",1
"101160126",1
"101165224",1
"101168105",1
"101171814",2
"101174517",1
"101176049",1
"101176334",1
"101178014",1
"1011794046",1
"101181317",1
"101182668",2
"101183699",3
"1011838003",1
"1011852379",1
"101192549",7
"1011955736",4
"101196358",1
"101198504",1
"1011989869",1
"1012001983",1
"1012015890",6
"1012113858",1
"1012122006",1
"101213460",1
"101219917",1
"1012216544",2
"1012329277",1
"1012335234",2
"1012346084",1
"1012354422",1
"1012373821",1
"1012410866",2
"1012430203",1
"101250364",1
"1012511192",1
"1012550408",1
"101256449",2
"101256661",1
"1012566668",1
"101258604",1
"1012639489",2
"1012649154",1
"101266095",2
"1012756026",1
"1012767008",1
"101281431",1
"1012885921",1
"1012930790",1
"1012938044",1
"1012942663",2
"101298969",1
"1013032927",1
"1013094812",1
"101314466",1
"1013251016",1
"101327995",1
"101336199",1
"101341597",4
"1013417922",1
"1013429695",6
"101343390",7
"101344252",1
"1013445398",4
"1013449820",1
"1013459664",1
"101347905",5
"1013528250",1
"101353344",1
"1013677831",1
"101370584",1
"101373008",1
"101379462",1
"101385027",1
"101387291",2
"1013900113",9
"1013957088",2
"101398069",1
"101398721",1
"1013994290",2
"1014004164",3
"101406775",1
"101410295",2
"101410845",1
"101411633",1
"1014175832",1
"1014195096",1
"101425377",1
"101426713",1
"1014325333",2
"1014348288",1
"1014389996",2
"1014399014",2
"1014418280",2
"101444300",1
"1014512448",4
"1014512880",2
"1014561182",1
"1014635563",1
"101463667",1
"101471662",1
"1014726384",1
"1014845234",1
"1015217918",3
"101524505",1
"1015300429",1
"1015347900",1
"101535712",1
"101565357",3
"101566005",1
"1015705580",1
"1015729956",1
"1015748774",1
"101575895",1
"1015784646",4
"1015788404",7
"1015815036",1
"101584657",2
"101588580",1
"1015920691",1
"1015929542",2
"1015959919",1
"1015986306",1
"101599664",1
"1016026381",2
"101602887",1
"1016081636",1
"1016091102",7
"1016104908",1
"101612302",2
"1016133374",1
"1016153754",1
"1016154074",1
"1016184229",2
"101618840",1
"1016208746",1
"1016255221",1
"1016268091",1
"1016319181",1
"1016429623",2
"101643684",1
"101645417",1
"1016484138",1
"101648781",1
"1016579605",1
"101658379",3
"1016659074",1
"1016664020",4
"1016683578",1
"1016738095",1
"1016741844",1
"1016780982",1
"101704239",1
"1017049560",1
"101727188",1
"101727262",1
"1017394212",1
"101740307",1
"101740851",1
"1017424046",1
"1017494395",1
"1017584180",2
"101774403",1
"101775127",5
"101775657",1
"101778201",2
"1017812346",1
"101786001",1
"101786721",1
"1017885385",6
"1017985226",1
"1018049934",1
"1018098553",1
"1018099790",2
"1018147326",1
"1018218187",1
"101822543",1
"101824756",2
"1018265311",1
"101830719",1
"1018363795",1
"1018444334",1
"101851774",1
"1018534422",1
"101858718",1
"1018634438",1
"1018667743",1
"101866794",1
"101867471",25
"101868834",19
"1018740931",2
"1018747422",5
"101876364",1
"1018765862",1
"1018792968",2
"1018806998",1
"1018820556",1
"1018821966",2
"1018856418",1
"1018857420",2
"1018926751",1
"1018937562",3
"1019018641",2
"101914220",3
"1019187445",3
"1019212062",2
"1019416141",1
"101953080",2
"101954237",1
"1019554184",1
"101983023",1
"1019937914",1
"1019968872",1
"1019976864",1
"1020002749",1
"1020039890",1
"1020045013",1
"1020184490",1
"1020314359",1
"1020339936",2
"1020346878",1
"1020375552",1
"1020438848",1
"1020451399",1
"1020655573",2
"1020696318",1
"1020858098",1
"1021042393",4
"1021139214",1
"102126818",1
"1021274084",3
"1021277078",1
"1021321003",1
"1021361401",1
"1021380620",2
"1021419746",1
"1021456598",2
"102150551",3
"1021528062",1
"102155664",1
"102173480",3
"1021823504",1
"102206857",4
"102218057",1
"1022241140",1
"1022251783",1
"102227053",1
"102227982",1
"1022307858",4
"1022373751",1
"1022386945",1
"1022400523",1
"1022407358",5
"102242174",2
"102246974",1
"1022562055",1
"102260688",4
"1022606904",3
"102261551",1
"1022756396",1
"1022868548",2
"1022999970",1
"1023139010",2
"1023268465",2
"1023330223",1
"102335177",1
"1023405168",4
"1023486320",1
"102349431",1
"1023508056",1
"1023559086",1
"1023659581",1
"102395657",1
"1024029452",2
"1024195380",1
"1024251301",2
"1024340688",1
"1024368426",1
"1024370526",1
"102439563",1
"102445514",1
"102449231",1
"1024582662",1
"102467207",2
"1024739102",10
"1024757161",1
"1024784726",1
"102481015",1
"102482421",1
"1024827931",1
"1024860392",1
"1024903110",7
"1024926625",1
"1024941464",1
"102496469",1
"102503121",2
"102506610",1
"102508749",1
"1025088582",5
"102509798",1
"1025119087",2
"1025126004",1
"102514679",1
"1025161303",1
"1025169954",1
"102517153",1
"1025178762",1
"102526151",1
"102541545",1
"1025426076",1
"1025426826",1
"1025527345",1
"102554482",1
"1025554346",3
"1025566297",1
"102556704",1
"102557073",1
"102559621",1
"102559652",1
"102564450",1
"1025651858",1
"102565793",1
"1025695219",1
"1025729666",1
"1025778211",1
"1025786846",2
"1025887219",1
"1025903046",1
"102592449",1
"1025946690",1
"102596170",1
"102611959",1
"102614013",1
"1026147433",1
"102621274",2
"1026221857",1
"102623422",1
"102629199",1
"102634808",9
"1026501114",1
"1026538224",6
"102657994",3
"1026935544",2
"102695156",1
"1026982418",2
"1026998209",4
"1027010905",1
"1027044608",2
"1027077145",2
"1027129111",1
"1027168783",1
"102722823",1
"102731677",3
"102732562",1
"1027347632",3
"102736237",2
"102738675",1
"1027397070",1
"102741874",1
"1027431188",1
"1027432646",2
"1027470932",1
"1027480044",2
"1027603525",1
"1027632853",1
"102766413",1
"102769156",1
"102770778",1
"1027727844",1
"1027823238",1
"102784140",1
"1027876153",2
"102795555",1
"102820940",1
"102822287",4
"102835795",1
"102846824",1
"102847878",1
"1028514642",1
"10286",1
"102867241",1
"1028729569",1
"1028770759",1
"1028771479",1
"1028793044",1
"102879314",2
"1028821146",2
"102885833",1
"1028859864",1
"102889381",1
"1028940601",1
"1028946414",2
"102898501",2
"102904616",1
"1029047922",1
"102907094",1
"1029090769",1
"102909122",2
"1029098017",1
"1029200941",1
"1029275102",1
"1029328405",1
"1029398407",2
"1029507103",3
"1029551558",1
"102956025",1
"1029568476",3
"102961269",1
"1029616537",1
"1029634124",1
"1029653582",1
"1029657248",1
"1029690228",1
"1029734822",1
"1029776467",1
"1029824785",2
"102994712",1
"1029954176",1
"1030005732",1
"103018352",1
"1030199186",1
"1030244646",1
"1030245367",1
"103037774",1
"1030587457",2
"1030766857",1
"103079197",1
"103080097",2
"1030844977",1
"103087049",1
"103091394",1
"1030922364",1
"1030940624",1
"103096371",1
"103100366",1
"1031015046",12
"1031029494",1
"1031029652",6
"1031036880",4
"1031046108",3
"1031061578",1
"103109848",1
"103115783",2
"1031207318",1
"1031240430",1
"1031303425",1
"1031340571",1
"103134984",1
"103141677",1
"103143948",2
"1031465166",1
"1031636137",1
"1031703254",1
"1031727068",1
"1031746530",1
"1031748968",2
"1031780071",1
"103181047",1
"103182251",1
"1031844140",1
"1031864804",4
"1031891996",1
"1031902104",1
"1031911645",2
"103193021",6
"1032106194",1
"103211272",1
"1032146964",1
"103218207",7
"1032219517",9
"1032249295",2
"103228152",1
"1032397874",1
"103245739",2
"103245828",1
"1032782820",2
"1032921282",1
"1033033956",1
"1033060879",2
"1033199270",1
"1033201790",2
"103321743",1
"1033262316",2
"103333232",3
"1033347008",2
"1033391869",5
"1033450933",1
"1033474304",1
"1033486758",13
"1033559426",9
"1033567555",3
"1033598335",1
"1033624776",1
"1033677092",1
"1033677410",1
"1033739197",1
"1033754994",2
"1033820700",2
"1033822898",2
"103383008",1
"1033865767",5
"1033887348",1
"1033945956",1
"1033981207",1
"1033994834",1
"1034086956",1
"1034169360",1
"103417684",2
"103420680",1
"1034314470",13
"103433486",1
"103436307",1
"1034408798",1
"103442255",1
"103453106",2
"103466599",30
"103467337",1
"103467457",2
"103472581",1
"103474720",1
"103478322",3
"103481929",1
"103498419",1
"103504808",1
"1035072860",1
"1035118020",1
"1035130530",1
"1035175663",1
"1035190914",1
"1035245797",1
"1035252475",1
"1035255422",1
"1035286028",2
"103531821",1
"1035379118",1
"1035400525",1
"103543134",1
"1035445111",1
"1035524575",1
"1035536186",1
"1035611048",1
"1035631044",1
"1035672002",1
"1035705600",6
"1035769154",1
"1035896720",1
"1035907674",1
"1036006610",1
"1036083336",1
"1036147351",2
"1036150273",4
"1036157365",1
"1036164096",1
"103618792",2
"1036303855",3
"103630634",3
"1036311330",19
"1036361202",3
"103641791",2
"1036427364",1
"1036490694",1
"103650248",1
"103658968",1
"103665637",1
"103667275",2
"103683684",1
"103693637",2
"1036954112",6
"103700075",1
"1037052872",1
"103707227",2
"10371312",1
"103718792",1
"103719179",1
"103719485",1
"1037253512",3
"1037264480",4
"1037274330",3
"103727461",1
"103727859",1
"1037285324",8
"103729437",1
"103740479",1
"1037415602",2
"1037473027",1
"103748661",1
"103757662",4
"1037645412",1
"1037666737",1
"1037697511",1
"1037701218",1
"1037820240",1
"103790506",1
"103791674",1
"1038007788",1
"1038035354",1
"1038125936",1
"1038136752",2
"103817261",1
"103818287",1
"1038233384",2
"1038334687",2
"103834806",1
"103839807",2
"1038418717",1
"1038549452",1
"1038607741",4
"1038626995",1
"1038728166",13
"1038802064",1
"1038825194",1
"1038832021",1
"1038839036",1
"1038881070",1
"103889500",1
"1038924606",1
"1038963253",1
"1039047428",1
"1039145300",1
"103932241",1
"1039365373",2
"1039388754",1
"1039509356",1
"1039598852",1
"1039727622",1
"1039780832",2
"103978895",1
"103979420",1
"103996095",1
"1040003258",1
"104009857",2
"1040141251",1
"104014914",1
"1040151144",1
"104022112",1
"104031079",1
"104032594",1
"1040358475",1
"1040523072",2
"1040550157",27
"104057991",1
"104065091",1
"1040707634",1
"1040778457",2
"1040785063",6
"1040796740",1
"104081761",1
"1040823644",1
"1040850661",1
"1040986711",1
"1041140107",1
"1041140544",1
"1041158689",1
"1041173234",1
"1041180974",14
"1041201726",2
"1041221323",2
"1041225180",4
"1041291913",1
"1041342601",1
"1041384188",1
"1041394614",2
"1041398317",2
"1041469135",1
"1041481658",1
"1041497743",1
"104150946",1
"1041520800",1
"1041540985",1
"1041608786",2
"104164337",1
"1041666522",2
"1041685338",1
"104169109",1
"104173001",1
"104180611",4
"1041854323",2
"1041871116",4
"104205799",1
"104213121",1
"10421472",1
"104218382",2
"1042210938",1
"1042255171",1
"104226574",1
"104229567",1
"104233392",1
"104235892",1
"104238307",1
"104244577",1
"1042501471",1
"1042682245",3
"104269724",2
"1042706478",1
"104270968",1
"1042750478",1
"1042795850",1
"104289008",1
"1042917763",1
"104300880",1
"1043032424",5
"1043061944",2
"104307054",1
"104308850",1
"104310013",1
"1043149363",1
"104315775",1
"104315900",1
"1043207342",1
"1043209610",1
"1043210299",2
"104322033",1
"1043295228",1
"1043296272",1
"1043321448",1
"1043361258",3
"104336632",1
"104337638",1
"10433782",1
"104338277",1
"1043405214",5
"1043409726",6
"1043417078",2
"104344220",1
"104347750",1
"1043478098",1
"1043502300",1
"1043503369",2
"1043514786",4
"10436012",1
"1043609816",1
"104363808",1
"1043649024",1
"1043665058",3
"1043672088",1
"1043691810",1
"1043704465",1
"104372077",1
"1043724019",4
"1043739294",1
"104375084",1
"1043819815",1
"1043844949",2
"1043864402",1
"1043906455",3
"1043922961",1
"104394500",3
"104397875",1
"104398543",1
"1044052999",1
"104419994",1
"104428716",1
"1044364663",1
"104439736",1
"1044407180",1
"1044455624",2
"1044461352",1
"1044490922",2
"10446382",1
"104482915",1
"104492937",1
"1044951997",1
"1045084776",2
"104508559",1
"104511849",1
"104513404",1
"1045142738",1
"10451462",1
"1045152823",1
"104550586",1
"1045601731",4
"1045641788",1
"1045659018",4
"1045762969",1
"1045786304",1
"1045786897",1
"104589242",2
"1046045090",1
"104616810",1
"1046211535",1
"104622258",2
"1046230740",2
"1046253822",2
"1046356261",1
"104639170",2
"1046467010",3
"1046473338",2
"1046523938",1
"1046616662",3
"104662796",7
"1046712708",1
"1046738329",1
"104675312",1
"1046792114",1
"104685183",2
"1046911044",1
"104698941",1
"10470",1
"1047005532",1
"104701039",1
"104707093",4
"1047071484",1
"1047157352",1
"104716246",1
"104716367",1
"104720875",4
"104723627",1
"1047301429",3
"1047399745",1
"104742229",1
"104748138",2
"104754025",1
"1047548138",1
"10478502",1
"1048069465",1
"104808757",1
"1048118780",1
"104822140",1
"1048396830",1
"1048413253",1
"1048645566",1
"104865825",1
"1048676425",2
"1048712634",1
"1048713883",1
"1048739886",2
"1048759824",10
"1048937576",1
"1048993344",2
"1049001728",2
"104910656",1
"1049119418",1
