source,target
341167,5681356
411140,5677617
341167,5681356
216736,5676774
398681,5676774
216736,5676774
95900,5677547
95900,5677547
318741,5681356
411140,5677617
341167,5681356
318741,5681356
216736,5676774
216736,5676774
95900,5677547
318741,5681356
95900,5677547
95900,5677547
341167,5681356
216736,5676774
216736,5676774
216736,5676774
318741,5681356
398681,5676774
318741,5681356
216736,5676774
216736,5676774
411140,5677617
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
95900,5677547
411140,5677617
341167,5681356
318741,5681356
398681,5676774
398681,5676774
318741,5681356
216736,5676774
95900,5677547
398681,5676774
341167,5681356
95900,5677547
341167,5681356
411140,5677617
318741,5681356
318741,5681356
411140,5677617
216736,5676774
398681,5676774
398681,5676774
216736,5676774
95900,5677547
216736,5676774
398681,5676774
95900,5677547
411140,5677617
95900,5677547
169723,5716381
318741,5716386
398681,5676774
318741,5681356
341167,5681356
216736,5676774
95900,5677547
398681,5676774
318741,5681356
411140,5677617
95900,5714878
95900,5714878
95900,5677547
216736,5676774
398681,5676774
318741,5681356
398681,5676774
411140,5677617
318741,5681356
95900,5677547
341167,5681356
318741,5681356
398681,5676774
95900,5677547
216736,5676774
216736,5676774
341167,5681356
398681,5676774
341167,5681356
411140,5677617
398681,5676774
216736,5676774
95900,5677547
411140,5677617
398681,5676774
95900,5677547
216736,5676774
341167,5681356
95900,5677547
216736,5676774
398681,5676774
95900,5677547
398681,5676774
216736,5676774
411140,5677617
341167,5681356
398681,5676774
341167,5681356
216736,5676774
411140,5677617
95900,5677547
95900,5677547
411140,5677617
216736,5676774
398681,5676774
341167,5681356
216736,5676774
411140,5677617
398681,5676774
95900,5677547
411140,5677617
95900,5677547
341167,5681356
216736,5676774
398681,5676774
411140,5677617
398681,5676774
216736,5676774
95900,5677547
398681,5676774
216736,5676774
95900,5677547
398681,5676774
411140,5677617
341167,5681356
341167,5681356
411140,5677617
216736,5676774
341167,5681356
411140,5677617
216736,5676774
95900,5677547
95900,5677547
411140,5677617
398681,5676774
398681,5676774
216736,5676774
216736,5676774
398681,5676774
398681,5676774
95900,5677547
216736,5676774
411140,5677617
95900,5677547
411140,5677617
341167,5681356
95900,5677547
398681,5676774
341167,5681356
411140,5677617
216736,5676774
216736,5676774
398681,5676774
95900,5677547
398681,5676774
216736,5676774
95900,5677547
398681,5676774
216736,5676774
95900,5677547
341167,5681356
341167,5681356
411140,5677617
318741,5714402
411140,5677617
95900,5677547
216736,5676774
318741,5681356
341167,5681356
398681,5676774
216736,5676774
216736,5676774
398681,5676774
95900,5677547
318741,5681356
95900,5677547
95900,5677547
411140,5677617
341167,5681356
318741,5681356
398681,5676774
398681,5676774
216736,5676774
216736,5676774
318741,5681356
318741,5681356
95900,5677547
398681,5676774
341167,5681356
411140,5677617
95900,5677547
216736,5676774
398681,5676774
318741,5681356
289870,5714787
398681,5676774
318741,5681356
411140,5677617
341167,5681356
95900,5677547
411140,5677617
318741,5714878
318741,5681356
216736,5676774
398681,5676774
95900,5677547
318741,5681356
411140,5677617
341167,5681356
95900,5677547
95900,5677547
318741,5681356
216736,5676774
398681,5676774
216736,5676774
398681,5676774
318741,5681356
216736,5676774
398681,5676774
398681,5676774
216736,5676774
318741,5681356
95900,5677547
341167,5681356
95900,5677547
411140,5677617
318741,5681356
318741,5681356
95900,5677547
411140,5677617
341167,5681356
95900,5677547
398681,5676774
318741,5681356
216736,5676774
216736,5676774
398681,5676774
398681,5676774
216736,5676774
216736,5676774
216736,5676774
398681,5676774
398681,5676774
398681,5676774
318741,5681356
318741,5681356
398681,5676774
216736,5676774
398681,5676774
216736,5676774
318741,5681356
398681,5676774
398681,5676774
398681,5676774
216736,5676774
398681,5676774
216736,5676774
398681,5676774
398681,5676774
216736,5676774
398681,5676774
398681,5676774
216736,5676774
398681,5676774
216736,5676774
216736,5676774
318741,5681356
216736,5676774
398681,5676774
398681,5676774
216736,5676774
216736,5676774
216736,5676774
398681,5676774
398681,5676774
398681,5676774
216736,5676774
216736,5676774
398681,5676774
216736,5676774
398681,5676774
216736,5676774
398681,5676774
398681,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
216736,5676774
