State,fips,county,2004,2005,2006,2007,2008,2009
Alabama,01001,Autauga County,29.8,28.5,27.5,29.8,31.3,33.9
Alabama,01003,Baldwin County,25.9,25.2,24.0,24.6,26.3,25.7
Alabama,01005,Barbour County,31.6,33.0,36.4,36.3,37.5,37.1
Alabama,01007,Bibb County,29.2,30.7,31.2,31.7,32.3,34.1
Alabama,01009,Blount County,25.4,27.6,28.8,31.5,31.9,32.1
Alabama,01011,Bullock County,35.1,36.0,36.8,37.1,37.6,39.2
Alabama,01013,Butler County,30.3,30.1,31.5,35.8,37.1,41.3
Alabama,01015,Calhoun County,28.7,30.0,32.5,33.3,33.6,33.8
Alabama,01017,Chambers County,30.5,30.2,33.3,36.0,35.7,35.5
Alabama,01019,Cherokee County,26.4,27.9,30.7,31.0,31.9,31.1
Alabama,01021,Chilton County,27.6,28.9,32.3,33.9,34.8,35.3
Alabama,01023,Choctaw County,31.2,31.8,34.9,36.5,36.9,38.8
Alabama,01025,Clarke County,31.5,31.6,35.3,35.3,36.3,35.7
Alabama,01027,Clay County,28.0,28.2,30.9,31.9,32.5,34.8
Alabama,01029,Cleburne County,27.4,29.1,29.3,29.3,28.8,30.1
Alabama,01031,Coffee County,30.4,31.0,33.5,32.6,32.7,32.2
Alabama,01033,Colbert County,27.4,29.0,33.9,36.1,34.8,33.4
Alabama,01035,Conecuh County,32.0,31.8,33.8,32.8,32.4,33.5
Alabama,01037,Coosa County,30.2,32.4,33.9,34.7,33.4,34.0
Alabama,01039,Covington County,27.1,27.6,29.3,32.2,34.5,37.2
Alabama,01041,Crenshaw County,29.3,32.0,33.9,34.9,33.8,37.4
Alabama,01043,Cullman County,25.0,26.0,27.4,29.5,30.2,32.2
Alabama,01045,Dale County,28.8,30.6,30.6,33.0,34.3,35.6
Alabama,01047,Dallas County,35.1,36.6,40.1,41.6,40.3,41.9
Alabama,01049,DeKalb County,25.5,28.6,30.0,31.7,31.7,34.0
Alabama,01051,Elmore County,27.1,28.1,28.3,28.3,28.8,31.3
Alabama,01053,Escambia County,30.4,32.6,34.3,35.3,34.5,35.9
Alabama,01055,Etowah County,28.9,29.5,30.4,32.8,31.0,32.5
Alabama,01057,Fayette County,29.4,31.1,32.2,33.3,32.6,36.9
Alabama,01059,Franklin County,27.9,29.6,31.8,30.0,29.6,31.4
Alabama,01061,Geneva County,29.1,29.7,30.3,32.5,32.1,35.9
Alabama,01063,Greene County,35.0,35.0,41.9,43.7,43.9,47.9
Alabama,01065,Hale County,34.1,35.4,38.1,38.6,40.2,43.5
Alabama,01067,Henry County,30.5,30.1,33.7,33.6,34.0,34.0
Alabama,01069,Houston County,26.9,31.5,34.1,33.0,33.3,33.3
Alabama,01071,Jackson County,30.3,29.9,30.3,30.9,31.8,30.8
Alabama,01073,Jefferson County,27.7,29.0,29.9,30.9,31.2,31.9
Alabama,01075,Lamar County,26.8,27.0,28.4,30.0,31.0,32.6
Alabama,01077,Lauderdale County,28.3,29.1,28.4,30.4,29.5,33.0
Alabama,01079,Lawrence County,27.6,28.9,30.4,31.8,32.6,38.0
Alabama,01081,Lee County,25.9,27.5,29.9,29.9,30.0,29.8
Alabama,01083,Limestone County,28.6,27.5,27.3,27.5,28.9,31.3
Alabama,01085,Lowndes County,34.1,34.6,36.3,40.3,40.6,44.7
Alabama,01087,Macon County,37.9,37.0,39.6,40.6,40.3,41.7
Alabama,01089,Madison County,26.8,27.1,28.9,30.8,30.5,31.3
Alabama,01091,Marengo County,31.8,33.0,37.7,37.1,37.8,40.4
Alabama,01093,Marion County,27.6,29.6,28.6,29.6,28.8,33.2
Alabama,01095,Marshall County,28.3,29.5,27.8,27.5,26.5,29.2
Alabama,01097,Mobile County,30.0,30.2,30.8,29.7,30.1,31.7
Alabama,01099,Monroe County,30.5,31.2,34.4,36.3,35.4,35.7
Alabama,01101,Montgomery County,29.2,30.0,32.9,32.9,34.0,34.1
Alabama,01103,Morgan County,26.1,27.2,29.8,35.0,34.8,33.0
Alabama,01105,Perry County,35.8,36.2,39.9,40.7,41.2,40.5
Alabama,01107,Pickens County,30.8,32.9,35.4,35.9,35.4,36.9
Alabama,01109,Pike County,30.3,32.6,35.6,36.8,35.2,37.0
Alabama,01111,Randolph County,29.8,31.3,32.9,32.1,32.2,32.5
Alabama,01113,Russell County,32.5,32.8,33.1,34.7,36.8,39.5
Alabama,01115,St. Clair County,27.4,28.8,29.4,33.8,33.6,35.5
Alabama,01117,Shelby County,23.7,25.0,26.3,27.5,27.9,27.6
